Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;2;1,316694;1;3;Odd;Left;Left;0,334567
2;2;0,7915978;1;1;Odd;Left;Left;0,2657671
3;2;0,8268245;1;6;Even;Right;Right;0,2114506
4;2;0,7049244;1;9;Odd;Left;Left;0,2137225
5;2;0,7374007;1;7;Odd;Left;Left;0,7256649
6;2;0,7530494;1;2;Even;Right;Right;0,7418587
7;2;0,6591706;1;4;Even;Right;Right;0,1987382
8;2;0,6811819;1;8;Even;Right;Right;0,6696298
10;2;0,7155361;1;9;Odd;Left;Left;0,7042499
11;2;1,214439;1;6;Even;Right;Right;1,203282
12;2;0,8273612;1;4;Even;Right;Right;0,8158323
13;2;0,7365227;1;8;Even;Right;Right;0,2561685
14;2;0,7934636;1;3;Odd;Left;Left;0,2131656
15;2;1,585816;1;7;Odd;Left;Left;1,574606
16;2;1,587277;1;1;Odd;Left;Left;1,576938
17;2;0,7136449;1;2;Even;Right;Right;0,7024141
19;2;0,7034539;1;6;Even;Right;Right;0,2549065
20;2;0,7148544;1;1;Odd;Left;Left;0,2572905
21;2;0,9270524;1;8;Even;Right;Right;0,9155678
22;2;0,804462;1;9;Odd;Left;Left;0,2456825
23;2;0,8267271;1;3;Odd;Left;Left;0,2564366
24;2;0,6813655;1;2;Even;Right;Right;0,2680218
25;2;0,7705536;1;7;Odd;Left;Left;0,2780912
26;2;0,7929113;1;4;Even;Right;Right;0,2559981
28;2;0,7488987;1;3;Odd;Left;Left;0,2350025
29;2;0,9163309;1;4;Even;Right;Right;0,9053546
30;2;0,7809603;1;1;Odd;Left;Left;0,2573844
31;2;0,972038;1;2;Even;Right;Right;0,2664047
32;2;0,803959;1;8;Even;Right;Right;0,7925295
33;2;0,6716738;1;6;Even;Right;Right;0,6608074
34;2;0,8709114;1;7;Odd;Left;Left;0,2470296
35;2;1,179442;1;9;Odd;Left;Left;1,168706
37;2;0,8271176;1;1;Odd;Left;Left;0,8153993
38;2;0,7266779;1;2;Even;Right;Right;0,5890448
39;2;0,7314511;1;7;Odd;Left;Left;0,5516038
40;2;0,7832094;1;6;Even;Right;Right;0,2343967
41;2;0,7483093;1;4;Even;Right;Right;0,2461306
42;2;0,7818067;1;3;Odd;Left;Left;0,2565467
43;2;2,099477;1;9;Odd;Left;Left;1,120188
44;2;0,8219311;1;8;Even;Right;Right;0,2534412
46;2;1,48555;1;2;Even;Right;Right;1,474252
47;2;0,7819416;1;6;Even;Right;Right;0,2794254
48;2;0,8823296;1;3;Odd;Left;Left;0,8713257
49;2;0,9830515;1;1;Odd;Left;Left;0,2568283
50;2;0,6685697;1;8;Even;Right;Right;0,223275
51;2;0,7069442;1;9;Odd;Left;Left;0,6957837
52;2;0,7603302;1;4;Even;Right;Right;0,4025026
53;2;0,7722681;1;7;Odd;Left;Left;0,2358159
55;2;0,8604664;1;8;Even;Right;Right;0,8494456
56;2;0,8596876;1;9;Odd;Left;Left;0,8373548
57;2;0,8041672;1;7;Odd;Left;Left;0,2795495
58;2;0,7262441;1;2;Even;Right;Right;0,2231247
59;2;0,8034912;1;6;Even;Right;Right;0,7941643
60;2;0,8039466;1;4;Even;Right;Right;0,2240518
61;2;0,726938;1;1;Odd;Left;Left;0,2468958
62;2;0,8375167;1;3;Odd;Left;Left;0,2349319
64;2;0,6700971;1;3;Odd;Left;Left;0,6587358
65;2;0,6480271;1;1;Odd;Left;Left;0,6364686
66;2;0,9399694;1;9;Odd;Left;Left;0,439573
67;2;0,6814451;1;8;Even;Right;Right;0,2012239
68;2;0,7144114;1;2;Even;Right;Right;0,7037547
69;2;0,6926745;1;7;Odd;Left;Left;0,681549
70;2;0,7928683;1;4;Even;Right;Right;0,7816605
71;2;0,7265616;1;6;Even;Right;Right;0,7155191
73;2;0,6816492;1;1;Odd;Left;Left;0,2011048
74;2;0,7036713;1;4;Even;Right;Right;0,2559941
75;2;0,7720524;1;7;Odd;Left;Left;0,2485626
76;2;0,8537918;1;8;Even;Right;Right;0,2588502
77;2;0,7712863;1;2;Even;Right;Right;0,2025418
78;2;0,6711813;1;9;Odd;Left;Left;0,2348842
79;2;1,628695;1;3;Odd;Left;Left;1,072544
80;2;0,9157454;1;6;Even;Right;Right;0,2342082
82;2;0,7708865;1;3;Odd;Left;Left;0,2568629
83;2;1,606539;1;9;Odd;Left;Left;0,9584423
84;2;0,7386642;1;1;Odd;Left;Left;0,7270181
85;2;0,8950024;1;4;Even;Right;Right;0,8840013
86;2;0,789267;1;6;Even;Right;Right;0,7775549
87;2;0,7140123;1;2;Even;Right;Right;0,2457198
88;2;0,7256873;1;8;Even;Right;Right;0,2457004
89;2;0,6669916;1;7;Odd;Left;Left;0,6583787
91;2;0,8661316;1;4;Even;Right;Right;0,8552192
92;2;0,8469762;1;8;Even;Right;Right;0,8376122
93;2;0,7371683;1;1;Odd;Left;Left;0,725875
94;2;1,787256;1;9;Odd;Left;Left;1,776093
95;2;0,7483744;1;7;Odd;Left;Left;0,2233031
96;2;0,8604504;1;6;Even;Right;Right;0,8492866
97;2;0,8947662;1;2;Even;Right;Right;0,8835753
98;2;0,8487191;1;3;Odd;Left;Left;0,8375951
100;2;0,9171559;1;3;Odd;Left;Left;0,2364185
101;2;0,8265774;1;2;Even;Right;Right;0,1985192
102;2;0,9271658;1;4;Even;Right;Right;0,9161749
103;2;0,7247139;1;1;Odd;Left;Left;0,7138104
104;2;1,161511;1;9;Odd;Left;Left;0,3003239
105;2;1,430451;1;8;Even;Right;Right;1,419368
106;2;0,8743278;1;6;Even;Right;Right;0,2127839
107;2;0,7795401;1;7;Odd;Left;Left;0,7683828
109;2;0,9355338;1;9;Odd;Left;Left;0,9251984
110;2;0,7850116;1;2;Even;Right;Right;0,7734622
111;2;1,060191;1;6;Even;Right;Right;1,049262
112;2;0,7263154;1;8;Even;Right;Right;0,2470603
113;2;0,6572447;1;4;Even;Right;Right;0,6465665
114;2;0,658004;1;7;Odd;Left;Left;0,6467043
115;2;0,771641;1;1;Odd;Left;Left;0,2348324
116;2;1,072075;1;3;Odd;Left;Left;0,3015754
118;2;0,7708256;1;1;Odd;Left;Left;0,2794683
119;2;0,7709828;1;6;Even;Right;Right;0,2685458
120;2;0,7257478;1;9;Odd;Left;Left;0,7151332
121;2;0,9942802;1;4;Even;Right;Right;0,4365466
122;2;0,4652216;1;2;Even;Right;Right;0,4535504
123;2;0,8264464;1;8;Even;Right;Right;0,8156103
124;2;0,7871043;1;7;Odd;Left;Left;0,776419
125;2;0,8756788;1;3;Odd;Left;Left;0,3030741
127;2;0,7259026;1;8;Even;Right;Right;0,2033185
128;2;0,7141646;1;3;Odd;Left;Left;0,7038195
129;2;0,7813713;1;2;Even;Right;Right;0,2236713
130;2;0,8378283;1;1;Odd;Left;Left;0,3013725
131;2;0,8258164;1;9;Odd;Left;Left;0,2672834
132;2;0,9394436;1;7;Odd;Left;Left;0,9286114
133;2;0,780706;1;4;Even;Right;Right;0,7698125
134;2;1,685837;1;6;Even;Right;Right;1,674677

