Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;21;0,8152593;1;7;Odd;Left;Left;0,715014
2;21;0,7373564;1;6;Even;Right;Right;0,7261652
3;21;0,9534606;1;1;Odd;Left;Left;0,8645498
4;21;2,054459;1;9;Odd;Left;Left;1,954194
5;21;0,9850658;1;4;Even;Right;Right;0,9732264
6;21;0,7363339;1;8;Even;Right;Right;0,7249268
7;21;0,7130663;1;3;Odd;Left;Left;0,702265
8;21;1,117243;1;2;Even;Right;Right;1,039344
10;21;0,8717996;1;6;Even;Right;Right;0,8603716
11;21;0,8383973;1;9;Odd;Left;Left;0,8269085
12;21;0,8927211;1;1;Odd;Left;Left;0,8592966
13;21;0,7937042;1;8;Even;Right;Right;0,7823461
14;21;0,8936111;1;2;Even;Right;Right;0,8827282
15;21;0,8338827;1;3;Odd;Left;Left;0,8259041
16;21;0,7614094;1;7;Odd;Left;Left;0,7498628
17;21;0,8304401;1;4;Even;Right;Right;0,8178412
19;21;0,7738692;1;1;Odd;Left;Left;0,7625916
20;21;0,7373763;1;8;Even;Right;Right;0,7262899
21;21;0,7948094;1;7;Odd;Left;Left;0,784275
22;21;0,7409655;1;9;Odd;Left;Left;0,6278009
23;21;1,032335;1;3;Odd;Left;Left;1,02159
24;21;0,9036158;1;2;Even;Right;Right;0,8923812
25;21;0,7137178;1;6;Even;Right;Right;0,703002
26;21;0,6143241;1;4;Even;Right;Right;0,6034698
28;21;0,6786322;1;8;Even;Right;Right;0,6668733
29;21;0,6588579;1;4;Even;Right;Right;0,625285
30;21;0,8255799;1;3;Odd;Left;Left;0,8150823
31;21;0,7388895;1;6;Even;Right;Right;0,7267852
32;21;0,8021736;1;2;Even;Right;Right;0,7906827
33;21;0,7861255;1;7;Odd;Left;Left;0,7749258
34;21;0,6783966;1;1;Odd;Left;Left;0,6670406
35;21;1,018395;1;9;Odd;Left;Left;1,007508
37;21;0,7371677;1;6;Even;Right;Right;0,7259307
38;21;0,6601756;1;8;Even;Right;Right;0,6490253
39;21;0,7809335;1;7;Odd;Left;Left;0,7024899
40;21;0,7531753;1;4;Even;Right;Right;0,742216
41;21;1,074678;1;9;Odd;Left;Left;1,062909
42;21;0,7372249;1;1;Odd;Left;Left;0,725834
43;21;0,7234571;1;2;Even;Right;Right;0,7121736
44;21;0,9074398;1;3;Odd;Left;Left;0,7734103
46;21;1,027357;1;2;Even;Right;Right;0,9148947
47;21;0,7600913;1;6;Even;Right;Right;0,7483884
48;21;1,026282;1;8;Even;Right;Right;1,015136
49;21;1,001666;1;9;Odd;Left;Left;0,913077
50;21;0,935615;1;3;Odd;Left;Left;0,9261184
51;21;0,6965517;1;7;Odd;Left;Left;0,6856039
52;21;0,7138281;1;4;Even;Right;Right;0,7022777
53;21;0,7035062;1;1;Odd;Left;Left;0,6589811
55;21;0,6582292;1;7;Odd;Left;Left;0,6133754
56;21;0,6528705;1;3;Odd;Left;Left;0,6406084
57;21;0,6366418;1;9;Odd;Left;Left;0,6252605
58;21;0,6814991;1;1;Odd;Left;Left;0,6708686
59;21;0,7738164;1;4;Even;Right;Right;0,7626104
60;21;0,7140458;1;8;Even;Right;Right;0,7038558
61;21;0,7093164;1;2;Even;Right;Right;0,6979361
62;21;0,9174325;1;6;Even;Right;Right;0,9061002
64;21;0,6813423;1;1;Odd;Left;Left;0,6701148
65;21;0,760716;1;2;Even;Right;Right;0,7496135
66;21;0,8331217;1;9;Odd;Left;Left;0,8216388
67;21;0,7742656;1;6;Even;Right;Right;0,762996
68;21;0,7367595;1;3;Odd;Left;Left;0,7254048
69;21;0,7131867;1;7;Odd;Left;Left;0,7017771
70;21;0,7148017;1;4;Even;Right;Right;0,7043102
71;21;0,6817143;1;8;Even;Right;Right;0,6709242
73;21;0,7486528;1;1;Odd;Left;Left;0,7377955
74;21;0,6147569;1;7;Odd;Left;Left;0,6033905
75;21;0,7343997;1;2;Even;Right;Right;0,7234111
76;21;1,452226;1;9;Odd;Left;Left;1,396048
77;21;0,9053291;1;8;Even;Right;Right;0,8712731
78;21;1,034292;1;3;Odd;Left;Left;0,9998016
79;21;0,7379076;1;4;Even;Right;Right;0,7267051
80;21;0,7238707;1;6;Even;Right;Right;0,7126567
82;21;0,7932673;1;2;Even;Right;Right;0,7825185
