Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;06;2,177021;2;8;Even;Left;Left;1,755175
2;06;0,92825;2;9;Odd;Right;Right;0,7372866
3;06;0,9919118;2;2;Even;Left;Left;0,3129464
4;06;0,6693308;2;7;Odd;Right;Right;0,3123224
5;06;0,7361853;2;4;Even;Left;Left;0,2672598
6;06;0,8705157;2;6;Even;Left;Left;0,2924455
7;06;0,9498422;2;1;Odd;Right;Right;0,9379336
8;06;0,8328747;2;3;Odd;Right;Right;0,3005743
10;06;0,8380719;2;8;Even;Left;Left;0,3024906
11;06;0,7793308;2;4;Even;Left;Left;0,2540909
12;06;1,017658;2;9;Odd;Right;Right;0,3274243
13;06;0,9822759;2;2;Even;Left;Left;0,3756459
14;06;0,8975614;2;3;Odd;Right;Right;0,2620629
15;06;1,985597;2;1;Odd;Right;Right;1,434001
16;06;0,9688473;2;7;Odd;Right;Right;0,2444175
17;06;0,9388424;2;6;Even;Left;Left;0,2904027
19;06;0,9607762;2;7;Odd;Right;Right;0,2796192
20;06;1,017649;2;4;Even;Left;Left;0,27847
21;06;0,8923979;2;1;Odd;Right;Right;0,234516
22;06;0,971326;2;6;Even;Left;Left;0,3118904
23;06;1,568458;2;2;Even;Left;Left;0,8323723
24;06;1,195432;2;8;Even;Left;Left;0,2796089
25;06;5,79551;2;3;Odd;Right;Right;5,11566
26;06;2,579329;2;9;Odd;Right;Right;1,663923
28;06;0,904508;2;7;Odd;Right;Right;0,2668861
29;06;0,915371;2;2;Even;Left;Left;0,2901466
30;06;0,9276268;2;3;Odd;Right;Right;0,278433
31;06;0,972038;2;6;Even;Left;Left;0,2803152
32;06;0,858426;2;1;Odd;Right;Right;0,2457994
33;06;0,860598;2;8;Even;Left;Left;0,3018364
34;06;0,8588899;2;4;Even;Left;Left;0,3004953
35;06;0,9610021;2;9;Odd;Right;Right;0,480963
37;06;0,9357067;2;3;Odd;Right;Right;0,279403
38;06;0,914068;2;8;Even;Left;Left;0,2783562
39;06;0,8598399;2;4;Even;Left;Left;0,2344571
40;06;1,101687;2;2;Even;Left;Left;0,420476
41;06;0,8389285;2;6;Even;Left;Left;0,2906812
42;06;1,429542;2;9;Odd;Right;Right;0,6703675
