Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;17;1,12823;1;6;Even;Right;Right;0,3686085
2;17;0,9937156;1;8;Even;Right;Right;0,2698297
3;17;0,9380594;1;3;Odd;Left;Left;0,2566587
4;17;1,070783;1;9;Odd;Left;Left;0,3017793
5;17;0,9025776;1;1;Odd;Left;Left;0,279929
6;17;0,9601832;1;7;Odd;Left;Left;0,2837055
7;17;1,139907;1;2;Even;Right;Right;0,3239378
8;17;0,9955416;1;4;Even;Right;Right;0,3235571
10;17;1,104544;1;3;Odd;Left;Left;0,2794355
11;17;1,083707;1;8;Even;Right;Right;0,361374
12;17;1,983438;1;7;Odd;Left;Left;1,258605
13;17;1,060992;1;6;Even;Right;Right;0,3081983
14;17;1,228622;1;4;Even;Right;Right;0,2900689
15;17;1,20746;1;2;Even;Right;Right;0,2809805
16;17;0,9928232;1;1;Odd;Left;Left;0,3794525
17;17;1,005013;1;9;Odd;Left;Left;0,4056646
19;17;1,094829;1;8;Even;Right;Right;0,3376251
20;17;1,108621;1;9;Odd;Left;Left;0,3567194
21;17;1,116808;1;1;Odd;Left;Left;0,3843494
22;17;1,028588;1;6;Even;Right;Right;0,3034939
23;17;1,240449;1;2;Even;Right;Right;0,5208239
24;17;1,063261;1;4;Even;Right;Right;0,2961997
25;17;1,015417;1;3;Odd;Left;Left;0,3376626
26;17;1,139157;1;7;Odd;Left;Left;0,3804326
28;17;1,012754;1;7;Odd;Left;Left;0,3982992
29;17;1,061667;1;6;Even;Right;Right;0,3241702
30;17;1,056438;1;8;Even;Right;Right;0,3546458
31;17;1,036531;1;2;Even;Right;Right;0,3566325
32;17;1,128225;1;3;Odd;Left;Left;0,4025739
33;17;1,119781;1;4;Even;Right;Right;0,3575221
34;17;1,262094;1;9;Odd;Left;Left;0,4242288
35;17;1,139707;1;1;Odd;Left;Left;0,4248327
37;17;1,083882;1;4;Even;Right;Right;0,3460661
38;17;1,06202;1;7;Odd;Left;Left;0,4032121
39;17;1,15004;1;3;Odd;Left;Left;0,4003421
40;17;1,172784;1;2;Even;Right;Right;0,3572043
41;17;1,117486;1;1;Odd;Left;Left;0,4016517
42;17;0,9944415;1;6;Even;Right;Right;0,3171468
43;17;1,295554;1;8;Even;Right;Right;0,3567047
44;17;0,9138872;1;9;Odd;Left;Left;0,3143327
46;17;1,106232;1;7;Odd;Left;Left;0,3694882
47;17;1,094473;1;2;Even;Right;Right;0,3398485
48;17;1,440819;1;3;Odd;Left;Left;0,3472421
49;17;1,095195;1;4;Even;Right;Right;0,3385679
50;17;1,195116;1;8;Even;Right;Right;0,4242162
51;17;1,060901;1;1;Odd;Left;Left;0,358299
52;17;1,117648;1;9;Odd;Left;Left;0,3586603
53;17;1,036751;1;6;Even;Right;Right;0,3568444
55;17;1,10461;1;3;Odd;Left;Left;0,3388091
56;17;1,25806;1;7;Odd;Left;Left;0,3420057
57;17;1,038934;1;9;Odd;Left;Left;0,4246998
58;17;1,039236;1;6;Even;Right;Right;0,3805345
59;17;0,9833337;1;1;Odd;Left;Left;0,3352227
60;17;1,02633;1;2;Even;Right;Right;0,3001863
61;17;1,005143;1;8;Even;Right;Right;0,3598715
62;17;1,251383;1;4;Even;Right;Right;0,6392419
64;17;1,251383;1;2;Even;Right;Right;0,2695245
65;17;1,018563;1;3;Odd;Left;Left;0,2785518
66;17;1,050531;1;1;Odd;Left;Left;0,3123994
67;17;1,083202;1;7;Odd;Left;Left;0,346456
68;17;1,104246;1;4;Even;Right;Right;0,257288
69;17;0,9956315;1;6;Even;Right;Right;0,3242483
70;17;1,150449;1;9;Odd;Left;Left;0,4022414
71;17;1,04138;1;8;Even;Right;Right;0,3361259
73;17;0,9161277;1;8;Even;Right;Right;0,2567095
74;17;0,9710988;1;6;Even;Right;Right;0,3350589
75;17;1,0276;1;3;Odd;Left;Left;0,3563494
76;17;1,139366;1;1;Odd;Left;Left;0,3578146
77;17;0,9939694;1;7;Odd;Left;Left;0,3578467
78;17;0,9785711;1;9;Odd;Left;Left;0,4044725
79;17;1,0367;1;2;Even;Right;Right;0,3231336
80;17;1,039453;1;4;Even;Right;Right;0,3583602
82;17;1,07276;1;9;Odd;Left;Left;0,4246831
83;17;1,060663;1;4;Even;Right;Right;0,3236946
84;17;1,016294;1;6;Even;Right;Right;0,3013526
85;17;1,049616;1;1;Odd;Left;Left;0,4021082
86;17;1,217834;1;8;Even;Right;Right;0,2577691
87;17;1,047305;1;7;Odd;Left;Left;0,3824773
88;17;1,118279;1;3;Odd;Left;Left;0,4132336
89;17;1,239949;1;2;Even;Right;Right;0,2796519
91;17;1,116803;1;1;Odd;Left;Left;0,3472537
92;17;1,057089;1;2;Even;Right;Right;0,2415937
93;17;1,127656;1;4;Even;Right;Right;0,40172
94;17;0,9945794;1;8;Even;Right;Right;0,3135122
95;17;1,094168;1;7;Odd;Left;Left;0,3355416
96;17;0,994168;1;9;Odd;Left;Left;0,3025812
97;17;1,083313;1;6;Even;Right;Right;0,3234381
98;17;1,105018;1;3;Odd;Left;Left;0,385614
100;17;0,9943331;1;6;Even;Right;Right;0,3111094
101;17;0,8905116;1;7;Odd;Left;Left;0,2984244
102;17;0,9512048;1;4;Even;Right;Right;0,2802505
103;17;0,990928;1;3;Odd;Left;Left;0,2988747
104;17;0,8379163;1;8;Even;Right;Right;0,3009545
105;17;0,9170914;1;2;Even;Right;Right;0,3140762
106;17;0,98352;1;1;Odd;Left;Left;0,2792473
107;17;1,809011;1;9;Odd;Left;Left;1,072158
109;17;0,9162669;1;2;Even;Right;Right;0,2971877
110;17;1,032989;1;1;Odd;Left;Left;0,3111367
111;17;1,072358;1;7;Odd;Left;Left;0,2541819
112;17;1,104389;1;8;Even;Right;Right;0,3601848
113;17;1,898958;1;6;Even;Right;Right;0,2792063
114;17;0,878386;1;9;Odd;Left;Left;0,279871
115;17;0,8788119;1;3;Odd;Left;Left;0,3012257
116;17;0,880492;1;4;Even;Right;Right;0,2567703
118;17;1,574308;1;9;Odd;Left;Left;0,3000575
119;17;1,139443;1;3;Odd;Left;Left;0,3242437
120;17;1,004804;1;2;Even;Right;Right;0,2800952
121;17;1,08217;1;6;Even;Right;Right;0,3243843
122;17;1,094454;1;7;Odd;Left;Left;0,336118
123;17;1,094971;1;4;Even;Right;Right;0,4019873
124;17;1,051886;1;8;Even;Right;Right;0,3240737
125;17;1,063125;1;1;Odd;Left;Left;0,3062499
127;17;1,263463;1;3;Odd;Left;Left;0,5815797
128;17;1,39655;1;6;Even;Right;Right;0,3243774
129;17;0,9604122;1;9;Odd;Left;Left;0,3053686
130;17;1,18788;1;4;Even;Right;Right;0,3578823
131;17;1,039771;1;8;Even;Right;Right;0,3662995
132;17;1,119316;1;7;Odd;Left;Left;0,3361841
133;17;1,125454;1;2;Even;Right;Right;0,365945
134;17;1,06077;1;1;Odd;Left;Left;0,3138151

