Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;25;0,9971094;1;9;Odd;Left;Right;0,2801445
2;25;1,095509;1;6;Even;Right;Right;0,2018067
3;25;1,151236;1;3;Odd;Left;Left;0,278912
4;25;1,015206;1;8;Even;Right;Right;0,2231478
5;25;1,216851;1;4;Even;Right;Right;0,213161
6;25;0,8406247;1;7;Odd;Left;Left;0,2029889
7;25;0,8363304;1;2;Even;Right;Right;0,2004046
8;25;0,9163072;1;1;Odd;Left;Left;0,2346178
10;25;0,8934066;1;6;Even;Right;Right;0,2023399
11;25;0,858826;1;9;Odd;Left;Left;0,2010217
12;25;1,763472;1;3;Odd;Left;Left;0,5238695
13;25;0,8568064;1;1;Odd;Left;Left;0,2543542
14;25;0,8954791;1;4;Even;Right;Right;0,2480101
15;25;0,8628526;1;2;Even;Right;Right;0,2795132
16;25;0,859192;1;7;Odd;Left;Left;0,2224151
17;25;0,8804238;1;8;Even;Right;Right;0,2459636
19;25;0,8023607;1;8;Even;Right;Right;0,2577792
20;25;0,8380749;1;6;Even;Right;Right;0,2226278
21;25;0,8167365;1;4;Even;Right;Right;0,2797506
22;25;1,230727;1;1;Odd;Left;Left;0,2365702
23;25;0,961702;1;2;Even;Right;Right;0,2464647
24;25;0,992096;1;7;Odd;Left;Left;0,2134464
25;25;0,792488;1;3;Odd;Left;Left;0,2119372
26;25;0,8827829;1;9;Odd;Left;Left;0,2244514
28;25;1,161866;1;8;Even;Right;Right;0,3020407
29;25;0,8236288;1;6;Even;Right;Right;0,2219762
30;25;0,8162692;1;7;Odd;Left;Left;0,1775394
31;25;1,875966;1;2;Even;Right;Right;0,1987487
32;25;0,8585407;1;3;Odd;Left;Left;0,2230963
33;25;1,695113;1;4;Even;Right;Right;1,080678
34;25;0,8278027;1;9;Odd;Left;Left;0,2367624
35;25;0,893808;1;1;Odd;Left;Left;0,2122499
37;25;0,9724984;1;4;Even;Right;Right;0,2681149
38;25;0,8466365;1;8;Even;Right;Right;0,2324434
39;25;0,7623619;1;1;Odd;Left;Left;0,1814913
40;25;0,8282095;1;3;Odd;Left;Left;0,2103409
41;25;0,8601192;1;7;Odd;Left;Left;0,2006868
42;25;0,9724171;1;2;Even;Right;Right;0,2344692
43;25;1,204003;1;9;Odd;Left;Left;0,5258819
44;25;0,9605746;1;6;Even;Right;Right;0,2565313
46;25;1,686294;1;4;Even;Right;Right;1,083907
47;25;0,9157863;1;2;Even;Right;Right;0,2233451
48;25;0,9940258;1;1;Odd;Left;Left;0,2124091
49;25;0,9163563;1;8;Even;Right;Right;0,2014473
50;25;1,263029;1;3;Odd;Left;Left;0,3234237
51;25;0,994031;1;9;Odd;Left;Left;0,1891959
52;25;0,9605016;1;6;Even;Right;Right;0,2228622
53;25;1,797238;1;7;Odd;Left;Left;1,02732
55;25;0,9620044;1;1;Odd;Left;Left;0,2025529
56;25;1,262281;1;2;Even;Right;Right;0,3024566
57;25;2,030075;1;3;Odd;Left;Left;1,237818
58;25;0,9377609;1;9;Odd;Left;Left;0,2348902
59;25;0,9832217;1;4;Even;Right;Right;0,2696579
60;25;1,214745;1;8;Even;Right;Right;0,2766606
61;25;1,095454;1;7;Odd;Left;Left;0,2781839
62;25;1,116932;1;6;Even;Right;Right;0,2570947
64;25;0,8046297;1;6;Even;Right;Right;0,2352026
65;25;1,338218;1;4;Even;Right;Right;0,2225853
66;25;1,374994;1;9;Odd;Left;Left;0,1800265
67;25;1,265499;1;1;Odd;Left;Left;0,1818783
68;25;0,7813184;1;3;Odd;Left;Left;0,1989185
69;25;1,230224;1;2;Even;Right;Right;0,2806827
70;25;0,8365254;1;8;Even;Right;Right;0,2226712
71;25;1,318152;1;7;Odd;Left;Left;0,2013267
73;25;0,8818574;1;9;Odd;Left;Left;0,2455016
74;25;3,240119;1;2;Even;Right;Right;2,299715
75;25;0,9170725;1;7;Odd;Left;Left;0,2467088
76;25;0,8604819;1;1;Odd;Left;Left;0,2453488
77;25;1,190853;1;3;Odd;Left;Left;0,2007583
78;25;0,8041971;1;6;Even;Right;Right;0,2011308
79;25;0,7357196;1;4;Even;Right;Right;0,2462625
80;25;0,8391496;1;8;Even;Right;Right;0,2585324
82;25;2,958396;1;4;Even;Right;Right;2,321768
83;25;0,9826284;1;8;Even;Right;Right;0,3232556
84;25;0,9275438;1;2;Even;Right;Right;0,3579341
85;25;1,060902;1;3;Odd;Left;Left;0,2446197
86;25;0,8703948;1;7;Odd;Left;Left;0,2566636
87;25;1,016277;1;6;Even;Right;Right;0,2561662
88;25;1,430376;1;9;Odd;Left;Left;0,2576957
89;25;0,8281734;1;1;Odd;Left;Left;0,1792972
91;25;1,094644;1;8;Even;Right;Right;0,2341177
92;25;0,7926001;1;2;Even;Right;Right;0,212303
93;25;0,9278815;1;7;Odd;Left;Left;0,1773864
94;25;1,117423;1;9;Odd;Left;Left;0,1789907
95;25;0,8260509;1;3;Odd;Left;Left;0,2692282
96;25;1,106946;1;6;Even;Right;Right;0,2682687
97;25;1,083322;1;4;Even;Right;Right;0,2787588
98;25;1,038032;1;1;Odd;Left;Left;0,2790379
100;25;1,442856;1;7;Odd;Left;Left;0,2145234
101;25;0,9383197;1;9;Odd;Left;Left;0,2012931
102;25;1,05964;1;4;Even;Right;Right;0,2002672
103;25;1,117332;1;3;Odd;Left;Left;0,2458416
104;25;0,7822558;1;1;Odd;Left;Left;0,2250718
105;25;1,843288;1;2;Even;Right;Right;0,2234137
106;25;1,714009;1;6;Even;Right;Right;0,273222
107;25;1,119821;1;8;Even;Right;Right;0,4045259
109;25;0,8933017;1;4;Even;Right;Right;0,2564129
110;25;0,7591284;1;2;Even;Right;Right;0,2222263
111;25;0,9487102;1;1;Odd;Left;Left;0,231703
112;25;2,059713;1;6;Even;Right;Right;1,252543
113;25;0,737267;1;8;Even;Right;Right;0,234509
114;25;0,7596834;1;7;Odd;Left;Left;0,2016684
115;25;0,8485585;1;3;Odd;Left;Left;0,1886786
116;25;1,543001;1;9;Odd;Left;Left;0,2021551
118;25;1,094989;1;8;Even;Right;Right;0,2017041
119;25;0,9408631;1;1;Odd;Left;Left;0,2126734
120;25;0,8816148;1;4;Even;Right;Right;0,223296
121;25;1,039623;1;3;Odd;Left;Left;0,2248333
122;25;0,7459847;1;6;Even;Right;Right;0,2009274
123;25;0,9170092;1;9;Odd;Left;Left;0,2131414
124;25;0,9373681;1;2;Even;Right;Right;0,2239194
125;25;1,440672;1;7;Odd;Left;Left;0,2230523
127;25;0,9945843;1;6;Even;Right;Right;0,2350608
128;25;1,162645;1;9;Odd;Left;Left;0,2452962
129;25;0,9938479;1;4;Even;Right;Right;0,1993819
130;25;0,995573;1;1;Odd;Left;Left;0,2357219
131;25;1,062749;1;7;Odd;Left;Left;0,2827622
132;25;1,989352;1;8;Even;Right;Right;1,295884
133;25;0,870551;1;2;Even;Right;Right;0,2134914
134;25;0,9284542;1;3;Odd;Left;Left;0,2581603

