Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;13;1,999521;1;4;Even;Right;Right;1,719696
2;13;0,8711193;1;9;Odd;Left;Left;0,7925421
3;13;0,8258373;1;2;Even;Right;Right;0,4805006
4;13;0,7610075;1;1;Odd;Left;Left;0,4808663
5;13;0,8156194;1;3;Odd;Left;Left;0,5363481
6;13;0,7461368;1;8;Even;Right;Right;0,6450844
7;13;0,9777911;1;6;Even;Right;Right;0,3688376
8;13;0,7811311;1;7;Odd;Left;Left;0,3015289
10;13;1,040688;1;6;Even;Right;Right;0,6248205
11;13;0,7375571;1;1;Odd;Left;Left;0,6257319
12;13;0,8141246;1;8;Even;Right;Right;0,6579297
13;13;0,8598068;1;4;Even;Right;Right;0,7034588
14;13;0,8598749;1;7;Odd;Left;Left;0,7933414
15;13;0,9501408;1;9;Odd;Left;Left;0,6145823
16;13;0,8682897;1;3;Odd;Left;Left;0,4896588
17;13;0,892276;1;2;Even;Right;Right;0,4807279
19;13;0,8606486;1;4;Even;Right;Right;0,479315
20;13;0,7472718;1;1;Odd;Left;Left;0,3342876
21;13;0,9157228;1;2;Even;Right;Right;0,7931937
22;13;0,9610748;1;9;Odd;Left;Left;0,9497145
23;13;0,7931246;1;3;Odd;Left;Left;0,5811044
24;13;0,9046313;1;7;Odd;Left;Left;0,548041
25;13;0,8367286;1;8;Even;Right;Right;0,7033739
26;13;0,9137088;1;6;Even;Right;Right;0,5228261
28;13;0,7146952;1;9;Odd;Left;Left;0,5807486
29;13;2,481587;1;4;Even;Right;Right;2,470505
30;13;0,9610727;1;6;Even;Right;Right;0,9498124
31;13;0,9149439;1;1;Odd;Left;Left;0,3780591
32;13;0,8927028;1;7;Odd;Left;Left;0,4356235
33;13;0,915694;1;8;Even;Right;Right;0,4130138
34;13;0,9614484;1;2;Even;Right;Right;0,6258715
35;13;0,9947025;1;3;Odd;Left;Left;0,4573767
37;13;0,7596229;1;3;Odd;Left;Left;0,5150623
38;13;0,7926853;1;6;Even;Right;Right;0,4598796
39;13;0,9488204;1;9;Odd;Left;Left;0,457744
40;13;0,838087;1;8;Even;Right;Right;0,514186
41;13;0,9046814;1;7;Odd;Left;Left;0,4471653
42;13;0,9368601;1;4;Even;Right;Right;0,6806184
43;13;0,7814959;1;1;Odd;Left;Left;0,3012072
44;13;0,8937598;1;2;Even;Right;Right;0,3559036
46;13;0,8953947;1;6;Even;Right;Right;0,2806975
47;13;0,799027;1;2;Even;Right;Left;0,2850059
48;13;2,303439;1;1;Odd;Left;Left;1,900752
49;13;0,7375609;1;4;Even;Right;Right;0,2680088
50;13;0,9158599;1;7;Odd;Left;Left;0,4129637
51;13;1,239869;1;3;Odd;Left;Left;1,038627
52;13;0,7576922;1;8;Even;Right;Right;0,2662676
53;13;0,9265988;1;9;Odd;Left;Left;0,2454234
55;13;0,7575084;1;4;Even;Right;Right;0,4448528
56;13;0,8362982;1;1;Odd;Left;Left;0,4134882
57;13;1,24113;1;7;Odd;Left;Left;0,96178
58;13;0,8053135;1;6;Even;Right;Right;0,4582921
59;13;0,858659;1;2;Even;Right;Right;0,4363431
60;13;0,8508433;1;3;Odd;Left;Left;0,3143962
61;13;0,750042;1;8;Even;Right;Right;0,2803031
62;13;0,8131002;1;9;Odd;Left;Left;0,4382645
64;13;0,7006947;1;4;Even;Right;Right;0,3246797
65;13;0,7204286;1;3;Odd;Left;Left;0,2769111
66;13;0,7928567;1;1;Odd;Left;Left;0,258447
67;13;0,6918269;1;6;Even;Right;Right;0,2567868
