Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;12;5,773666;2;9;Odd;Right;Left;5,76164
2;12;1,80919;2;1;Odd;Right;Right;1,654408
3;12;0,9714143;2;4;Even;Left;Left;0,7582648
4;12;0,871613;2;6;Even;Left;Left;0,2804165
5;12;0,857671;2;8;Even;Left;Left;0,8457652
6;12;3,096167;2;3;Odd;Right;Right;3,084994
7;12;1,016111;2;7;Odd;Right;Right;1,00493
8;12;1,739569;2;2;Even;Left;Left;1,728322
10;12;3,642888;2;9;Odd;Right;Right;3,61931
11;12;1,229189;2;3;Odd;Right;Right;1,217999
12;12;4,734979;2;1;Odd;Right;Right;4,724023
13;12;11,53758;2;2;Even;Left;Left;11,19947
14;12;0,9613733;2;7;Odd;Right;Right;0,6487549
15;12;1,038483;2;4;Even;Left;Left;0,8378653
16;12;0,8915385;2;8;Even;Left;Left;0,5120907
17;12;1,128302;2;6;Even;Left;Left;1,11698
19;12;5,472473;2;9;Odd;Right;Right;5,461223
20;12;1,216004;2;2;Even;Left;Left;0,6245561
21;12;1,25025;2;1;Odd;Right;Right;0,679581
22;12;1,01474;2;4;Even;Left;Left;0,4567345
23;12;0,8381347;2;3;Odd;Right;Right;0,7600482
24;12;1,338289;2;7;Odd;Right;Right;0,7365793
25;12;1,038973;2;6;Even;Left;Left;0,5290448
26;12;0,8523833;2;8;Even;Left;Left;0,8413259
28;12;6,739044;2;1;Odd;Right;Right;6,204036
29;12;0,914874;2;4;Even;Left;Left;0,3136079
30;12;1,024398;2;3;Odd;Right;Right;0,9241401
31;12;1,128767;2;6;Even;Left;Left;0,6142482
32;12;0,9154738;2;7;Odd;Right;Right;0,8384679
33;12;1,22106;2;9;Odd;Right;Right;0,7261
34;12;0,702419;2;2;Even;Left;Left;0,2763994
35;12;0,7824203;2;8;Even;Left;Left;0,2802631
37;12;1,138635;2;3;Odd;Right;Right;0,602156
38;12;4,656905;2;9;Odd;Right;Right;4,121584
39;12;0,8174233;2;4;Even;Left;Left;0,2685093
40;12;0,8360312;2;2;Even;Left;Left;0,8253861
41;12;0,9444408;2;6;Even;Left;Left;0,9331374
42;12;1,106051;2;8;Even;Left;Left;1,094629
43;12;0,9374027;2;7;Odd;Right;Right;0,5037479
44;12;1,07237;2;1;Odd;Right;Right;0,523792
46;12;1,116189;2;9;Odd;Right;Right;0,6722505
47;12;1,95008;2;7;Odd;Right;Right;1,860801
48;12;0,9136803;2;1;Odd;Right;Right;0,4383291
49;12;0,7470093;2;2;Even;Left;Left;0,7357342
50;12;0,8784198;2;8;Even;Left;Left;0,3208929
51;12;1,006421;2;6;Even;Left;Left;0,6049339
52;12;0,9488324;2;4;Even;Left;Left;0,3800524
53;12;0,8845265;2;3;Odd;Right;Right;0,7038107
55;12;0,7819772;2;2;Even;Left;Left;0,3362247
56;12;0,736776;2;6;Even;Left;Left;0,325481
57;12;0,89152;2;4;Even;Left;Left;0,4140011
58;12;1,092952;2;7;Odd;Right;Right;0,646365
59;12;0,9139867;2;9;Odd;Right;Right;0,3555598
60;12;2,334257;2;1;Odd;Right;Right;1,855054
61;12;0,7573737;2;8;Even;Left;Left;0,4998845
62;12;0,9626219;2;3;Odd;Right;Right;0,4370152
64;12;0,8377206;2;6;Even;Left;Left;0,8265245
65;12;1,977875;2;1;Odd;Right;Right;1,442203
66;12;1,141452;2;9;Odd;Right;Right;0,6464053
67;12;0,7621112;2;2;Even;Left;Left;0,3469752
68;12;0,8058227;2;4;Even;Left;Left;0,379765
69;12;0,9193033;2;8;Even;Left;Left;0,6821465
70;12;0,8783409;2;3;Odd;Right;Right;0,4327617
71;12;0,9484394;2;7;Odd;Right;Right;0,4375491
73;12;0,8160266;2;8;Even;Left;Left;0,2790313
74;12;0,8296093;2;3;Odd;Right;Right;0,4362115
75;12;0,7223657;2;6;Even;Left;Left;0,2216633
76;12;0,8097512;2;4;Even;Left;Left;0,3303779
77;12;0,7592077;2;2;Even;Left;Left;0,2896662
78;12;0,8938963;2;7;Odd;Right;Right;0,3816054
79;12;2,067077;2;9;Odd;Right;Right;2,056064
80;12;0,8038427;2;1;Odd;Right;Right;0,2798341
82;12;3,226041;2;7;Odd;Right;Right;2,790276
83;12;1,037781;2;1;Odd;Right;Right;0,5904858
84;12;0,9386097;2;9;Odd;Right;Right;0,4467714
85;12;0,7958264;2;8;Even;Left;Left;0,2470447
86;12;0,6597036;2;4;Even;Left;Left;0,2687985
87;12;1,073987;2;6;Even;Left;Left;0,3923395
88;12;0,8383226;2;2;Even;Left;Left;0,4036196
89;12;1,015854;2;3;Odd;Right;Right;0,5576789
91;12;0,682922;2;4;Even;Left;Left;0,2679332
92;12;0,7042124;2;6;Even;Left;Left;0,69373
93;12;0,6586965;2;8;Even;Left;Left;0,2780986
94;12;0,9380209;2;9;Odd;Right;Right;0,581277
95;12;0,8049849;2;7;Odd;Right;Right;0,4125568
96;12;0,9392871;2;3;Odd;Right;Right;0,4810029
97;12;0,7121677;2;2;Even;Left;Left;0,2356169
98;12;2,402683;2;1;Odd;Right;Right;1,865698
100;12;0,9602012;2;3;Odd;Right;Right;0,4133496
101;12;1,011184;2;1;Odd;Right;Right;0,7871207
102;12;0,6366952;2;8;Even;Left;Left;0,6241024
103;12;0,9495839;2;7;Odd;Right;Right;0,4632607
104;12;0,9600676;2;9;Odd;Right;Right;0,9490802
105;12;0,8700893;2;2;Even;Left;Left;0,3563484
106;12;0,9373986;2;6;Even;Left;Left;0,2784397
107;12;1,117021;2;4;Even;Left;Left;1,105059
109;12;1,150679;2;7;Odd;Right;Right;0,5377573
110;12;1,18679;2;9;Odd;Right;Right;0,7052997
111;12;0,9138297;2;8;Even;Left;Left;0,2990052
112;12;1,13933;2;1;Odd;Right;Right;1,128055
113;12;0,8162014;2;2;Even;Left;Left;0,2680226
114;12;0,8955265;2;4;Even;Left;Left;0,2595366
115;12;0,9386734;2;6;Even;Left;Left;0,2793041
116;12;0,9367862;2;3;Odd;Right;Right;0,447779
118;12;0,6597988;2;2;Even;Left;Left;0,6482879
119;12;0,8859225;2;9;Odd;Right;Right;0,8746839
120;12;0,7256267;2;4;Even;Left;Left;0,3239269
121;12;0,7042478;2;6;Even;Left;Left;0,3006319
122;12;1,853933;2;7;Odd;Right;Right;1,842918
123;12;0,7597175;2;8;Even;Left;Left;0,3563988
124;12;0,9631902;2;1;Odd;Right;Right;0,4354675
125;12;0,9611699;2;3;Odd;Right;Right;0,3797742
127;12;0,7318626;2;6;Even;Left;Left;0,2511149
128;12;0,8838221;2;9;Odd;Right;Right;0,4024408
129;12;2,080918;2;7;Odd;Right;Right;2,069918
130;12;0,9158427;2;1;Odd;Right;Right;0,4380763
131;12;1,026554;2;3;Odd;Right;Right;0,4785061
132;12;0,8417565;2;8;Even;Left;Left;0,3717463
133;12;0,9067473;2;4;Even;Left;Left;0,3563929
134;12;0,6818864;2;2;Even;Left;Left;0,2565303

