Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;11;1,027213;1;2;Even;Right;Right;0,1784741
2;11;0,8050597;1;9;Odd;Left;Left;0,1342174
3;11;1,574199;1;8;Even;Right;Right;0,7211732
4;11;0,6935328;1;7;Odd;Left;Left;0,1789895
5;11;1,61854;1;1;Odd;Left;Left;0,1790775
6;11;10,29639;1;3;Odd;Left;Left;7,898984
7;11;0,8694634;1;6;Even;Right;Right;0,1901494
8;11;0,9815778;1;4;Even;Right;Right;0,1776201
10;11;0,8048148;1;1;Odd;Left;Left;0,1345618
11;11;3,08385;1;2;Even;Right;Right;0,7944729
12;11;0,9510319;1;9;Odd;Left;Left;0,1779796
13;11;1,092951;1;4;Even;Right;Right;0,1797591
14;11;0,8479663;1;8;Even;Right;Right;0,8367507
15;11;0,885145;1;7;Odd;Left;Left;0,1570541
16;11;1,318661;1;3;Odd;Left;Left;0,1924032
17;11;0,8481182;1;6;Even;Right;Right;0,1114773
19;11;0,9055951;1;3;Odd;Left;Left;0,3024707
20;11;1,059209;1;6;Even;Right;Right;0,1788645
21;11;0,6727564;1;7;Odd;Left;Left;0,1801312
22;11;6,119737;1;8;Even;Right;Right;6,019847
23;11;0,9539742;1;4;Even;Right;Right;0,186305
24;11;1,251066;1;9;Odd;Left;Left;0,2792774
25;11;1,439242;1;2;Even;Right;Right;0,2244496
26;11;0,8713495;1;1;Odd;Left;Left;0,6593131
28;11;25,9349;1;1;Odd;Left;Left;25,01864
29;11;1,031189;1;8;Even;Right;Right;0,214049
30;11;1,340002;1;3;Odd;Left;Left;0,2118746
31;11;0,8792462;1;4;Even;Right;Right;0,1981871
32;11;1,073351;1;2;Even;Right;Right;1,062114
33;11;0,8135816;1;6;Even;Right;Right;0,2016641
34;11;0,8161435;1;9;Odd;Left;Left;0,1594971
35;11;4,722667;1;7;Odd;Left;Left;4,71153
37;11;0,7160919;1;8;Even;Right;Right;0,2125286
38;11;0,7398832;1;1;Odd;Left;Left;0,2031893
39;11;2,001374;1;7;Odd;Left;Left;1,979645
40;11;1,070021;1;9;Odd;Left;Left;0,2319093
41;11;1,49633;1;2;Even;Right;Right;0,2371526
42;11;0,8744097;1;4;Even;Right;Right;0,2023065
43;11;1,351329;1;6;Even;Right;Right;0,2343692
44;11;0,8036267;1;3;Odd;Left;Left;0,2243705
46;11;1,24942;1;7;Odd;Left;Left;0,1910598
47;11;0,958281;1;1;Odd;Left;Left;0,2662134
48;11;0,8679901;1;8;Even;Right;Right;0,1957192
49;11;0,7598765;1;3;Odd;Left;Left;0,2016474
50;11;1,139162;1;4;Even;Right;Right;0,2234088
51;11;1,384598;1;9;Odd;Left;Left;0,1907542
52;11;0,8404353;1;2;Even;Right;Right;0,2133457
53;11;0,8479242;1;6;Even;Right;Right;0,2338302
55;11;1,062198;1;1;Odd;Left;Left;0,1792483
56;11;0,9125202;1;8;Even;Right;Right;0,179101
57;11;1,539736;1;7;Odd;Left;Left;0,1988839
58;11;1,241589;1;3;Odd;Left;Left;1,230375
59;11;2,5468;1;9;Odd;Left;Left;1,230302
60;11;0,8836882;1;4;Even;Right;Right;0,2342198
61;11;1,873331;1;2;Even;Right;Right;1,201251
