Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
123;22;0,8370499;2;1;Odd;Right;Right;0,8259943
124;22;0,9173373;2;6;Even;Left;Left;0,9060938
125;22;0,7606109;2;3;Odd;Right;Right;0,7495654
127;22;0,6919807;2;4;Even;Left;Left;0,680844
128;22;0,8930718;2;8;Even;Left;Left;0,8818257
129;22;0,680494;2;9;Odd;Right;Right;0,669598
130;22;1,01691;2;6;Even;Left;Left;1,006239
131;22;0,7595596;2;7;Odd;Right;Right;0,748507
132;22;0,8164433;2;1;Odd;Right;Right;0,8054745
133;22;0,8842116;2;2;Even;Left;Left;0,8728102
134;22;0,647049;2;3;Odd;Right;Right;0,6359631
Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;22;1,116232;1;1;Odd;Left;Left;0,8408713
2;22;0,9600464;1;2;Even;Right;Right;0,9486895
3;22;2,558939;1;4;Even;Right;Right;2,547691
4;22;0,8266875;1;6;Even;Right;Right;0,8155181
5;22;0,8367534;1;9;Odd;Left;Left;0,8257897
6;22;1,082214;1;3;Odd;Left;Left;1,071297
7;22;1,216457;1;7;Odd;Left;Left;1,20516
8;22;1,667496;1;8;Even;Right;Right;1,656633
10;22;1,004878;1;6;Even;Right;Right;0,9935818
11;22;0,8376379;1;4;Even;Right;Right;0,8263694
12;22;1,161754;1;9;Odd;Left;Left;1,150473
13;22;1,039022;1;2;Even;Right;Right;1,027849
14;22;1,496523;1;1;Odd;Left;Left;1,474388
15;22;0,9394504;1;7;Odd;Left;Left;0,9281474
16;22;1,116784;1;8;Even;Right;Right;1,105515
17;22;1,197536;1;3;Odd;Left;Left;1,18629
19;22;1,004993;1;4;Even;Right;Right;0,992975
20;22;0,9150159;1;8;Even;Right;Right;0,9037817
21;22;0,981384;1;1;Odd;Left;Left;0,9700284
22;22;1,128451;1;9;Odd;Left;Left;1,117561
23;22;0,939878;1;6;Even;Right;Right;0,9290433
24;22;1,161608;1;2;Even;Right;Right;1,150378
25;22;1,204022;1;7;Odd;Left;Left;1,192841
26;22;1,27336;1;3;Odd;Left;Left;1,262395
28;22;0,7356188;1;8;Even;Right;Right;0,724417
29;22;1,799674;1;3;Odd;Left;Left;1,788517
30;22;0,8381303;1;6;Even;Right;Right;0,8270866
31;22;0,9827753;1;1;Odd;Left;Left;0,9490526
32;22;0,8264565;1;2;Even;Right;Right;0,8149215
33;22;0,8042652;1;7;Odd;Left;Left;0,7930491
34;22;0,7948269;1;4;Even;Right;Left;0,7835817
35;22;2,335897;1;9;Odd;Left;Left;2,324728
37;22;0,9363251;1;2;Even;Right;Right;0,9251938
38;22;2,078478;1;1;Odd;Left;Left;1,955487
39;22;1,465385;1;3;Odd;Left;Left;1,454141
40;22;0,8958769;1;8;Even;Right;Right;0,8846066
41;22;1,016399;1;7;Odd;Left;Left;1,004941
42;22;0,9834749;1;6;Even;Right;Right;0,9723752
43;22;0,9375712;1;9;Odd;Left;Left;0,9268704
44;22;1,894458;1;4;Even;Right;Right;1,883157
46;22;0,7914987;1;3;Odd;Left;Left;0,7804695
47;22;0,8601964;1;4;Even;Right;Right;0,849106
48;22;0,8817268;1;6;Even;Right;Right;0,78064
49;22;0,8149272;1;7;Odd;Left;Left;0,7925256
50;22;1,018978;1;9;Odd;Left;Left;1,007635
51;22;1,177079;1;8;Even;Right;Left;1,166151
52;22;1,003233;1;2;Even;Right;Right;0,9594695
53;22;1,148459;1;1;Odd;Left;Left;1,137353
55;22;0,8371207;1;1;Odd;Left;Left;0,8258377
56;22;0,8722135;1;6;Even;Right;Right;0,8607802
57;22;0,7372359;1;8;Even;Right;Right;0,7265239
58;22;0,7941722;1;4;Even;Right;Right;0,7827859
59;22;1,184767;1;9;Odd;Left;Left;1,173516
60;22;0,9041985;1;3;Odd;Left;Left;0,8926237
61;22;0,8950007;1;7;Odd;Left;Left;0,8834271
62;22;1,140195;1;2;Even;Right;Right;1,128663
64;22;1,139284;1;3;Odd;Left;Left;1,128319
65;22;2,37852;1;1;Odd;Left;Left;2,367205
66;22;0,9988273;1;9;Odd;Left;Left;0,9878238
67;22;1,038574;1;7;Odd;Left;Left;1,027463
