Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;2;0,7930959;2;3;Odd;Right;Right;0,2349501
2;2;0,7028133;2;9;Odd;Right;Right;0,6917016
3;2;1,319827;2;6;Even;Left;Left;0,843109
4;2;0,9596714;2;7;Odd;Right;Right;0,2229592
5;2;0,9644104;2;8;Even;Left;Left;0,2227215
6;2;0,6711275;2;2;Even;Left;Left;0,2244524
7;2;0,9039437;2;4;Even;Left;Left;0,2447755
8;2;0,8593702;2;1;Odd;Right;Right;0,202975
10;2;0,7489153;2;3;Odd;Right;Right;0,2452337
11;2;0,8777514;2;9;Odd;Right;Right;0,2474051
12;2;0,7520828;2;7;Odd;Right;Right;0,2369246
13;2;0,758625;2;2;Even;Left;Left;0,2241886
14;2;0,7475691;2;1;Odd;Right;Right;0,178817
15;2;1,103793;2;6;Even;Left;Left;0,232198
16;2;0,8143605;2;4;Even;Left;Left;0,2225888
17;2;0,9582854;2;8;Even;Left;Left;0,2550217
19;2;0,8815249;2;9;Odd;Right;Right;0,2450071
20;2;0,9157747;2;8;Even;Left;Left;0,4362299
21;2;0,7920858;2;7;Odd;Right;Right;0,2004482
22;2;0,8755115;2;4;Even;Left;Left;0,2515413
23;2;0,8400538;2;3;Odd;Right;Right;0,4490219
24;2;0,9041401;2;1;Odd;Right;Right;0,2674104
25;2;0,7819995;2;2;Even;Left;Left;0,2035533
26;2;1,049669;2;6;Even;Left;Left;0,4577816
28;2;1,462139;2;9;Odd;Right;Right;1,450324
29;2;0,9734615;2;1;Odd;Right;Right;0,9629693
30;2;0,727073;2;2;Even;Left;Left;0,2011268
31;2;0,7066059;2;4;Even;Left;Left;0,2150586
32;2;0,8322886;2;8;Even;Left;Left;0,8224351
33;2;0,4693642;2;6;Even;Left;Left;0,4583752
34;2;1,596542;2;3;Odd;Right;Right;1,01709
35;2;0,7736307;2;7;Odd;Right;Right;0,7629245
37;2;0,8566225;2;7;Odd;Right;Right;0,2296588
38;2;0,782147;2;4;Even;Left;Left;0,2029256
39;2;0,9596368;2;1;Odd;Right;Right;0,9464128
40;2;0,8808031;2;8;Even;Left;Left;0,8695902
41;2;0,8018719;2;9;Odd;Right;Right;0,791569
42;2;0,8144575;2;6;Even;Left;Left;0,2015614
43;2;1,517343;2;3;Odd;Right;Right;1,506504
44;2;0,7743314;2;2;Even;Left;Left;0,7631553
46;2;1,717485;2;9;Odd;Right;Right;1,130103
47;2;0,793353;2;7;Odd;Right;Right;0,2335606
48;2;0,980396;2;4;Even;Left;Left;0,2037957
49;2;0,8381274;2;8;Even;Left;Left;0,8248295
50;2;0,8043859;2;6;Even;Left;Left;0,2345474
51;2;0,7928882;2;1;Odd;Right;Right;0,7817116
52;2;1,596641;2;2;Even;Left;Left;1,025597
53;2;0,7355694;2;3;Odd;Right;Right;0,1949807
55;2;1,286594;2;8;Even;Left;Left;0,2234658
56;2;0,8270262;2;6;Even;Left;Left;0,3013455
57;2;0,6518537;2;1;Odd;Right;Right;0,1707391
58;2;2,232158;2;4;Even;Left;Left;1,741554
59;2;0,7264875;2;7;Odd;Right;Right;0,2224759
60;2;0,8489495;2;3;Odd;Right;Right;0,2656975
61;2;0,7714834;2;2;Even;Left;Left;0,7604876
62;2;1,013484;2;9;Odd;Right;Right;0,455606
64;2;0,8363125;2;3;Odd;Right;Right;0,2420647
65;2;0,7859924;2;4;Even;Left;Left;0,1748321
66;2;0,9792145;2;7;Odd;Right;Right;0,2621278
67;2;0,7398385;2;6;Even;Left;Left;0,2689685
68;2;0,8273398;2;9;Odd;Right;Right;0,8162243
69;2;0,9164282;2;8;Even;Left;Left;0,2353039
70;2;0,7465053;2;1;Odd;Right;Right;0,1550798
71;2;0,6810777;2;2;Even;Left;Left;0,2231961
73;2;0,971635;2;6;Even;Left;Left;0,2565096
74;2;0,804113;2;7;Odd;Right;Right;0,2360084
75;2;0,8458378;2;3;Odd;Right;Right;0,8346952
76;2;1,440187;2;2;Even;Left;Left;0,9596975
77;2;0,9121923;2;1;Odd;Right;Right;0,2511531
78;2;3,205423;2;8;Even;Left;Left;2,675004
79;2;0,8372667;2;9;Odd;Right;Right;0,2793033
80;2;0,7707124;2;4;Even;Left;Left;0,759128
82;2;0,8005778;2;6;Even;Left;Left;0,2079033
83;2;2,124001;2;4;Even;Left;Left;1,673078
84;2;0,837949;2;9;Odd;Right;Right;0,8267583
85;2;0,9054763;2;7;Odd;Right;Right;0,8926986
86;2;0,7370115;2;2;Even;Left;Left;0,2175556
87;2;0,7898;2;3;Odd;Right;Right;0,7828178
88;2;0,7377747;2;8;Even;Left;Left;0,1673312
89;2;0,7028505;2;1;Odd;Right;Right;0,1903202
91;2;0,7260455;2;8;Even;Left;Left;0,2017142
92;2;0,7820405;2;9;Odd;Right;Right;0,2345133
93;2;1,642412;2;3;Odd;Right;Right;1,082571
94;2;0,7712255;2;2;Even;Left;Left;0,2342485
95;2;0,7150896;2;6;Even;Left;Left;0,2013544
96;2;0,9822161;2;4;Even;Left;Left;0,2231889
97;2;1,720752;2;7;Odd;Right;Right;1,116896
98;2;0,8691142;2;1;Odd;Right;Right;0,2791713
100;2;0,8594015;2;8;Even;Left;Left;0,2780589
101;2;1,04957;2;1;Odd;Right;Right;0,2003345
102;2;0,9259363;2;7;Odd;Right;Right;0,2557523
103;2;0,7818634;2;6;Even;Left;Left;0,2021217
104;2;0,7278197;2;3;Odd;Right;Right;0,2017056
105;2;0,8207253;2;9;Odd;Right;Right;0,2283836
106;2;0,7760946;2;4;Even;Left;Left;0,216668
107;2;0,7585474;2;2;Even;Left;Right;0,7472354
109;2;1,103559;2;3;Odd;Right;Right;0,24549
110;2;1,830181;2;6;Even;Left;Left;1,819438
111;2;0,7796313;2;9;Odd;Right;Right;0,7683119
112;2;0,8706842;2;8;Even;Left;Left;0,8597235
113;2;0,7389317;2;2;Even;Left;Left;0,2669738
114;2;0,9346913;2;7;Odd;Right;Right;0,2349803
115;2;0,7830336;2;4;Even;Left;Left;0,1881036
116;2;0,8489891;2;1;Odd;Right;Right;0,3580414
118;2;0,748858;2;6;Even;Left;Left;0,7376314
119;2;0,8261575;2;7;Odd;Right;Right;0,2567723
120;2;1,664757;2;2;Even;Left;Left;0,9983619
121;2;0,8711139;2;9;Odd;Right;Right;0,3240159
122;2;1,379554;2;1;Odd;Right;Right;0,5751023
123;2;0,8135101;2;3;Odd;Right;Right;0,223471
124;2;0,8992822;2;4;Even;Left;Left;0,261932
125;2;0,8571771;2;8;Even;Left;Left;0,3102673
127;2;0,6739083;2;6;Even;Left;Left;0,6627187
128;2;0,875873;2;3;Odd;Right;Right;0,8646144
129;2;0,9097614;2;2;Even;Left;Left;0,2794939
130;2;0,8984143;2;1;Odd;Right;Right;0,8871329
131;2;1,761853;2;4;Even;Left;Left;1,146276
132;2;0,7943504;2;9;Odd;Right;Right;0,7830727
133;2;0,7480893;2;7;Odd;Right;Right;0,7370724
134;2;0,806711;2;8;Even;Left;Left;0,3035663

