Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;27;1,055451;1;4;Even;Right;Right;0,2730486
2;27;0,9812256;1;7;Odd;Left;Left;0,2705342
3;27;0,815035;1;9;Odd;Left;Left;0,2573051
4;27;0,7823718;1;1;Odd;Left;Left;0,2685605
5;27;2,279504;1;6;Even;Right;Right;2,078573
6;27;0,9501508;1;3;Odd;Left;Left;0,3046544
7;27;1,015102;1;8;Even;Right;Right;0,3116058
8;27;1,136901;1;2;Even;Right;Right;0,5016291
10;27;1,048697;1;3;Odd;Left;Left;0,3348736
11;27;0,9378249;1;9;Odd;Left;Left;0,2895995
12;27;1,909952;1;1;Odd;Left;Left;1,775455
13;27;1,138712;1;4;Even;Right;Right;0,412189
14;27;1,072691;1;2;Even;Right;Right;1,016875
15;27;1,160339;1;8;Even;Right;Right;0,2124937
16;27;0,8783647;1;6;Even;Right;Right;0,3024277
17;27;1,070994;1;7;Odd;Left;Left;0,3223591
19;27;0,8513533;1;7;Odd;Left;Left;0,3946691
20;27;0,9196244;1;8;Even;Right;Right;0,2921919
21;27;0,9616702;1;2;Even;Right;Right;0,2669223
22;27;0,8595287;1;3;Odd;Left;Left;0,2553461
23;27;1,314532;1;9;Odd;Left;Left;0,7782736
24;27;0,9620693;1;6;Even;Right;Right;0,3269995
25;27;0,7711844;1;4;Even;Right;Right;0,2678481
26;27;0,9836002;1;1;Odd;Left;Left;0,2217948
28;27;0,8618526;1;2;Even;Right;Right;0,2853273
29;27;0,8469571;1;8;Even;Right;Right;0,2887865
30;27;0,9387215;1;9;Odd;Left;Left;0,2815471
31;27;0,8157967;1;1;Odd;Left;Left;0,2779531
32;27;0,9500701;1;4;Even;Right;Right;0,244519
33;27;1,126412;1;3;Odd;Left;Left;0,2339698
34;27;1,854382;1;7;Odd;Left;Left;1,619133
35;27;0,8930281;1;6;Even;Right;Right;0,3132491
37;27;0,8601271;1;8;Even;Right;Right;0,3372799
38;27;0,9483849;1;7;Odd;Left;Left;0,2779068
39;27;0,9860407;1;3;Odd;Left;Left;0,3367599
40;27;0,8049758;1;1;Odd;Left;Left;0,2801211
41;27;0,9170374;1;4;Even;Right;Right;0,2802838
42;27;0,8820643;1;6;Even;Right;Right;0,2560276
43;27;1,296208;1;2;Even;Right;Left;0,4583744
44;27;1,083334;1;9;Odd;Left;Left;0,9374815
46;27;1,006198;1;4;Even;Right;Right;0,3240843
47;27;0,9825862;1;7;Odd;Left;Left;0,3458868
48;27;0,8947439;1;8;Even;Right;Right;0,28131
49;27;0,9284775;1;1;Odd;Left;Left;0,7270098
50;27;0,8946019;1;3;Odd;Left;Left;0,3022153
51;27;0,8201454;1;6;Even;Right;Right;0,2676044
52;27;0,8834451;1;2;Even;Right;Right;0,2674634
53;27;0,9314432;1;9;Odd;Left;Left;0,2941046
55;27;1,105502;1;7;Odd;Left;Left;0,3015873
56;27;2,014348;1;3;Odd;Left;Left;1,257969
57;27;1,014459;1;2;Even;Right;Right;0,2945107
58;27;0,9537272;1;8;Even;Right;Right;0,373396
59;27;0,9522541;1;6;Even;Right;Right;0,3268733
60;27;0,8568534;1;1;Odd;Left;Left;0,2843394
61;27;0,8930044;1;4;Even;Right;Right;0,2905318
62;27;2,730768;1;9;Odd;Left;Left;2,719188
64;27;1,104368;1;3;Odd;Left;Left;0,4482284
65;27;1,037377;1;9;Odd;Left;Left;0,4352162
66;27;1,06067;1;6;Even;Right;Right;0,3760656
67;27;2,142685;1;7;Odd;Left;Left;1,564624
68;27;0,9628562;1;8;Even;Right;Right;0,3596003
69;27;1,236825;1;2;Even;Right;Right;0,4565146
70;27;0,9707428;1;1;Odd;Left;Left;0,3475177
71;27;1,329291;1;4;Even;Right;Right;0,2454593
73;27;0,8934301;1;9;Odd;Left;Left;0,2680445
74;27;0,9607695;1;4;Even;Right;Right;0,2834503
75;27;1,043415;1;7;Odd;Left;Left;0,4355716
76;27;1,562107;1;3;Odd;Left;Left;0,679185
77;27;3,352925;1;1;Odd;Left;Left;3,077754
78;27;1,949293;1;6;Even;Right;Right;1,373144
79;27;1,07448;1;8;Even;Right;Right;0,4480158
80;27;1,034201;1;2;Even;Right;Right;0,3971996
82;27;0,9154707;1;1;Odd;Left;Left;0,3550314
83;27;1,060746;1;7;Odd;Left;Left;0,3575704
84;27;1,038291;1;4;Even;Right;Right;0,3235663
85;27;0,9132239;1;2;Even;Right;Right;0,3323166
86;27;1,015102;1;6;Even;Right;Right;0,4459926
87;27;1,250105;1;9;Odd;Left;Left;0,5021388
88;27;1,116385;1;8;Even;Right;Right;0,3454304
89;27;0,8406267;1;3;Odd;Left;Left;0,1442339
91;27;0,98259;1;1;Odd;Left;Left;0,3792474
92;27;1,114105;1;6;Even;Right;Right;0,3786796
93;27;1,017563;1;3;Odd;Left;Left;0,3797507
94;27;1,130741;1;9;Odd;Left;Left;1,008836
95;27;1,038244;1;7;Odd;Left;Left;0,4351504
96;27;1,096153;1;4;Even;Right;Right;0,7979562
97;27;1,083331;1;2;Even;Right;Right;0,3134672
98;27;0,9383492;1;8;Even;Right;Right;0,3599675
100;27;0,992808;1;9;Odd;Left;Left;0,3135148
101;27;1,015599;1;6;Even;Right;Right;0,3788281
102;27;0,9912958;1;1;Odd;Left;Left;0,377831
103;27;1,080731;1;7;Odd;Left;Left;1,069542
104;27;1,159892;1;2;Even;Right;Right;0,5346138
105;27;1,129607;1;3;Odd;Left;Left;0,5029221
106;27;2,079405;1;8;Even;Right;Right;1,857323
107;27;0,9851571;1;4;Even;Right;Right;0,414318
109;27;1,204349;1;8;Even;Right;Right;1,005475
110;27;1,00332;1;3;Odd;Left;Left;0,3800008
111;27;1,028555;1;2;Even;Right;Right;0,3580006
112;27;0,9949427;1;6;Even;Right;Right;0,4154627
113;27;1,025091;1;1;Odd;Left;Left;0,3643166
114;27;1,052444;1;7;Odd;Left;Left;0,3915263
115;27;1,061562;1;4;Even;Right;Right;0,5019838
116;27;1,049499;1;9;Odd;Left;Left;0,4144687
118;27;1,10385;1;6;Even;Right;Right;0,4227201
119;27;0,8995969;1;8;Even;Right;Right;0,3652887
120;27;1,866373;1;2;Even;Right;Right;1,218323
121;27;1,13832;1;3;Odd;Left;Left;0,4595699
122;27;1,162034;1;7;Odd;Left;Left;0,4800763
123;27;1,277362;1;9;Odd;Left;Left;0,3692015
124;27;1,014114;1;4;Even;Right;Right;0,3364514
125;27;1,017606;1;1;Odd;Left;Left;0,4249949
127;27;0,9169261;1;4;Even;Right;Right;0,4035785
128;27;1,058303;1;3;Odd;Left;Left;0,4106271
129;27;1,096625;1;2;Even;Right;Right;0,403034
130;27;1,139063;1;8;Even;Right;Right;0,4125776
131;27;1,138176;1;7;Odd;Left;Left;0,312933
132;27;1,277224;1;9;Odd;Left;Left;0,3344849
133;27;1,038404;1;6;Even;Right;Right;0,4584297
134;27;1,084831;1;1;Odd;Left;Left;0,4800912
Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;27;1,161669;2;6;Even;Left;Left;0,3357077
2;27;0,9987413;2;9;Odd;Right;Right;0,2683866
3;27;0,9432143;2;4;Even;Left;Left;0,3640293
4;27;0,960728;2;1;Odd;Right;Right;0,2922752
5;27;1,222339;2;3;Odd;Right;Right;0,7053856
6;27;0,8812353;2;7;Odd;Right;Right;0,3269643
7;27;1,045386;2;2;Even;Left;Left;0,2290905
8;27;1,076928;2;8;Even;Left;Left;0,3393899
10;27;1,852429;2;1;Odd;Right;Right;1,841174
11;27;1,197394;2;9;Odd;Right;Right;0,5235821
12;27;1,161716;2;8;Even;Left;Left;0,2776796
13;27;0,9490206;2;4;Even;Left;Left;0,3130986
14;27;0,9282398;2;2;Even;Left;Left;0,3835086
15;27;0,9249946;2;6;Even;Left;Left;0,3451917
16;27;0,9801492;2;7;Odd;Right;Right;0,3785223
17;27;0,9514555;2;3;Odd;Right;Right;0,3479492
19;27;1,182449;2;7;Odd;Right;Right;0,4892318
20;27;1,138308;2;3;Odd;Right;Right;0,4466339
21;27;0,9280401;2;2;Even;Left;Left;0,3672796
22;27;0,973543;2;6;Even;Left;Left;0,3805905
23;27;0,9821948;2;8;Even;Left;Left;0,3113162
24;27;1,139372;2;9;Odd;Right;Right;0,3122357
25;27;1,073651;2;4;Even;Left;Left;0,2682668
26;27;1,04064;2;1;Odd;Right;Right;0,3456149
28;27;1,081819;2;9;Odd;Right;Right;0,423215
29;27;1,057155;2;7;Odd;Right;Right;0,4005252
30;27;0,9384143;2;2;Even;Left;Left;0,3819691
31;27;1,116328;2;1;Odd;Right;Right;0,4051892
32;27;1,016672;2;6;Even;Left;Left;0,3565698
33;27;0,9840034;2;3;Odd;Right;Right;0,4364541
34;27;0,9592819;2;4;Even;Left;Left;0,3123051
35;27;1,771211;2;8;Even;Left;Left;1,100469
37;27;0,9942197;2;3;Odd;Right;Right;0,2802899
38;27;2,04216;2;9;Odd;Right;Right;1,374926
39;27;1,484238;2;7;Odd;Right;Right;0,9588624
40;27;1,050714;2;4;Even;Left;Left;0,2964161
41;27;0,9597709;2;8;Even;Left;Left;0,4057659
42;27;1,079776;2;6;Even;Left;Left;0,3530977
43;27;1,018942;2;1;Odd;Right;Right;0,336525
44;27;1,128559;2;2;Even;Left;Left;0,4026663
46;27;0,9827304;2;6;Even;Left;Left;0,3837365
47;27;0,9968937;2;8;Even;Left;Left;0,3289676
48;27;0,9848635;2;2;Even;Left;Left;0,3801854
49;27;1,060537;2;7;Odd;Right;Right;0,4015344
50;27;1,865113;2;9;Odd;Right;Right;0,9827856
51;27;0,9940894;2;4;Even;Left;Left;0,3579244
52;27;0,9949883;2;3;Odd;Right;Right;0,3809144
53;27;1,177018;2;1;Odd;Right;Right;0,4294046
55;27;1,061098;2;9;Odd;Right;Right;0,4575101
56;27;1,038664;2;6;Even;Left;Left;0,4239071
57;27;1,697284;2;7;Odd;Right;Right;0,9392788
58;27;1,018123;2;8;Even;Left;Left;0,2661748
59;27;1,350567;2;2;Even;Left;Left;0,5991808
60;27;1,077836;2;1;Odd;Right;Right;0,3171577
61;27;1,058657;2;4;Even;Left;Left;0,3441486
62;27;1,031758;2;3;Odd;Right;Right;0,3601577
64;27;0,982622;2;7;Odd;Right;Right;0,3478007
65;27;1,064066;2;9;Odd;Right;Right;0,4280374
66;27;0,8376085;2;2;Even;Left;Left;0,2118659
67;27;0,9811463;2;6;Even;Left;Left;0,3789654
68;27;0,9605826;2;8;Even;Left;Left;0,3572331
69;27;0,9276235;2;4;Even;Left;Left;0,3570726
70;27;1,149827;2;1;Odd;Right;Right;0,3686709
71;27;0,9828177;2;3;Odd;Right;Right;0,4247643
73;27;1,00491;2;2;Even;Left;Left;0,2673514
74;27;1,07043;2;9;Odd;Right;Right;0,4793991
75;27;0,9608935;2;6;Even;Left;Left;0,3016944
76;27;1,029609;2;7;Odd;Right;Right;0,4017639
77;27;0,9719381;2;1;Odd;Right;Left;0,4134601
78;27;1,017611;2;3;Odd;Right;Right;0,3023095
79;27;0,9715607;2;8;Even;Left;Left;0,5716166
80;27;1,082755;2;4;Even;Left;Left;0,3680578
82;27;0,9934591;2;4;Even;Left;Left;0,3595646
83;27;0,8601788;2;2;Even;Left;Left;0,3123962
84;27;0,9888334;2;3;Odd;Right;Right;0,3567846
85;27;1,163743;2;7;Odd;Right;Right;0,4278967
86;27;1,294971;2;1;Odd;Right;Right;0,5581319
87;27;0,9867585;2;9;Odd;Right;Right;0,4014652
88;27;0,9884845;2;8;Even;Left;Left;0,3529881
89;27;1,209763;2;6;Even;Left;Left;0,2709284
91;27;1,046845;2;1;Odd;Right;Right;0,3324779
92;27;1,695639;2;7;Odd;Right;Right;0,7809657
93;27;1,139533;2;9;Odd;Right;Right;0,3494877
94;27;1,082978;2;6;Even;Left;Left;0,3375133
