Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;18;0,8616838;2;2;Even;Left;Left;0,2472544
2;18;0,9051216;2;7;Odd;Right;Right;0,3817788
3;18;0,9419277;2;1;Odd;Right;Right;0,2263263
4;18;0,7331829;2;9;Odd;Right;Right;0,2133425
5;18;0,7045317;2;3;Odd;Right;Right;0,1884356
6;18;0,7971886;2;4;Even;Left;Left;0,2227882
7;18;0,814056;2;8;Even;Left;Left;0,2595187
8;18;0,7181531;2;6;Even;Left;Left;0,2238028
10;18;4,790759;2;4;Even;Left;Left;4,455703
11;18;0,9565064;2;9;Odd;Right;Right;0,223445
12;18;0,8386794;2;6;Even;Left;Left;0,2238221
13;18;0,9370621;2;3;Odd;Right;Right;0,2127571
14;18;1,027306;2;8;Even;Left;Left;0,245291
15;18;0,9257237;2;7;Odd;Right;Right;0,2567011
16;18;1,298583;2;2;Even;Left;Left;0,2804054
17;18;1,053437;2;1;Odd;Right;Right;0,2231263
19;18;1,623273;2;1;Odd;Right;Right;0,2806017
20;18;1,029004;2;7;Odd;Right;Right;0,2035346
21;18;0,835109;2;2;Even;Left;Left;0,2208558
22;18;5,975849;2;6;Even;Left;Left;5,942401
23;18;0,9835287;2;8;Even;Left;Left;0,9727958
24;18;0,9478453;2;9;Odd;Right;Right;0,2998217
25;18;1,013868;2;3;Odd;Right;Right;0,2345731
26;18;0,9608909;2;4;Even;Left;Left;0,2790385
28;18;1,170652;2;8;Even;Left;Left;0,2300336
29;18;1,049242;2;6;Even;Left;Left;0,313701
30;18;0,8944915;2;9;Odd;Right;Right;0,2225252
31;18;1,08424;2;4;Even;Left;Left;0,2468657
32;18;0,9153733;2;3;Odd;Right;Right;0,2344435
33;18;0,9711519;2;2;Even;Left;Left;0,2024595
34;18;0,7945022;2;1;Odd;Right;Right;0,1564403
35;18;1,060454;2;7;Odd;Right;Right;0,256864
37;18;0,9500671;2;1;Odd;Right;Right;0,3581172
38;18;0,7809235;2;4;Even;Left;Left;0,2261895
39;18;1,081195;2;2;Even;Left;Left;0,2432483
40;18;1,284657;2;6;Even;Left;Left;0,2238786
41;18;0,9604456;2;7;Odd;Right;Right;0,1897282
42;18;0,7515991;2;9;Odd;Right;Right;0,1721326
43;18;0,8579533;2;3;Odd;Right;Right;0,2444969
44;18;0,8834911;2;8;Even;Left;Left;0,2693018
46;18;0,8337816;2;2;Even;Left;Left;0,2357022
47;18;0,9374176;2;3;Odd;Right;Right;0,2434749
48;18;1,829167;2;1;Odd;Right;Right;0,9197834
49;18;0,9381565;2;8;Even;Left;Left;0,2454012
50;18;1,262236;2;4;Even;Left;Left;0,2471616
51;18;0,7816392;2;9;Odd;Right;Right;0,2012637
52;18;0,8504875;2;6;Even;Left;Left;0,2495767
53;18;0,8328469;2;7;Odd;Right;Right;0,1171924
55;18;1,09639;2;4;Even;Left;Left;0,2688612
56;18;0,8823183;2;3;Odd;Right;Right;0,2230467
57;18;0,8294525;2;9;Odd;Right;Right;0,2240863
58;18;0,8067371;2;7;Odd;Right;Right;0,2596394
59;18;1,039783;2;6;Even;Left;Left;0,2623186
60;18;0,8465669;2;8;Even;Left;Left;0,2237329
