Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;16;1,296134;2;4;Even;Left;Left;0,3362829
2;16;1,094391;2;3;Odd;Right;Right;0,180069
3;16;0,8510202;2;6;Even;Left;Left;0,2026846
4;16;0,7380526;2;9;Odd;Right;Right;0,7266098
5;16;1,429871;2;1;Odd;Right;Right;0,1563321
6;16;0,7709489;2;2;Even;Left;Left;0,2224786
7;16;0,9734418;2;8;Even;Left;Left;0,337752
8;16;0,8051602;2;7;Odd;Right;Right;0,1808959
10;16;0,9044477;2;9;Odd;Right;Right;0,20076
11;16;1,305116;2;3;Odd;Right;Right;1,294144
12;16;0,9601338;2;6;Even;Left;Left;0,2344893
13;16;1,774197;2;4;Even;Left;Left;1,763511
14;16;0,939413;2;7;Odd;Right;Right;0,2031285
15;16;1,22966;2;1;Odd;Right;Right;0,1672143
16;16;0,7918487;2;2;Even;Left;Left;0,2017477
17;16;0,6789945;2;8;Even;Left;Right;0,1658593
19;16;7,238201;2;4;Even;Left;Left;7,181781
20;16;2,290689;2;7;Odd;Right;Right;0,9272239
21;16;1,351255;2;8;Even;Left;Left;0,9830635
22;16;15,04881;2;6;Even;Left;Left;15,03786
23;16;2,398775;2;2;Even;Left;Left;2,387402
24;16;1,141151;2;3;Odd;Right;Right;1,130161
25;16;1,008887;2;9;Odd;Right;Right;0,9978852
26;16;1,161943;2;1;Odd;Right;Right;1,151285
28;16;0,9602064;2;6;Even;Left;Left;0,9493461
29;16;1,041429;2;8;Even;Left;Left;0,8848144
30;16;0,8061119;2;2;Even;Left;Left;0,7947189
31;16;2,06915;2;4;Even;Left;Left;1,475792
32;16;0,8944498;2;3;Odd;Right;Right;0,2560488
33;16;0,8943259;2;7;Odd;Right;Right;0,8832254
34;16;0,883863;2;1;Odd;Right;Left;0,3242487
35;16;0,9028493;2;9;Odd;Right;Right;0,323387
37;16;0,9373791;2;2;Even;Left;Left;0,269213
38;16;1,113284;2;4;Even;Left;Left;1,102522
39;16;0,9224218;2;7;Odd;Right;Right;0,2784261
40;16;1,309303;2;8;Even;Left;Left;0,7146145
41;16;1,041009;2;1;Odd;Right;Right;0,4570884
42;16;1,418625;2;9;Odd;Right;Right;1,407297
43;16;0,9929054;2;6;Even;Left;Left;0,9816228
44;16;0,8821784;2;3;Odd;Right;Right;0,3238519
46;16;1,984301;2;4;Even;Left;Left;1,972501
47;16;1,139676;2;3;Odd;Right;Right;0,5818772
48;16;0,7705423;2;9;Odd;Right;Right;0,7591245
49;16;1,194624;2;2;Even;Left;Left;0,4569151
50;16;0,8011529;2;7;Odd;Right;Right;0,2642159
51;16;0,9381644;2;1;Odd;Right;Left;0,3013779
52;16;1,217983;2;8;Even;Left;Right;1,206897
53;16;1,27078;2;6;Even;Left;Left;1,26133
55;16;0,8594501;2;6;Even;Left;Left;0,5011532
56;16;0,9273891;2;7;Odd;Right;Right;0,3132382
57;16;1,116684;2;8;Even;Left;Left;0,2692159
58;16;0,7818569;2;1;Odd;Right;Left;0,3015091
59;16;1,262417;2;2;Even;Left;Right;0,2779157
60;16;1,262026;2;4;Even;Left;Left;0,3586797
61;16;1,573799;2;9;Odd;Right;Right;1,48469
62;16;1,039221;2;3;Odd;Right;Right;0,3001924
64;16;0,8282843;2;3;Odd;Right;Right;0,2558783
65;16;1,272995;2;6;Even;Left;Left;0,6378202
66;16;0,7517364;2;4;Even;Left;Left;0,7401648
67;16;0,9466357;2;9;Odd;Right;Right;0,9177002
68;16;2,057732;2;8;Even;Left;Left;2,036526
69;16;0,8714746;2;7;Odd;Right;Right;0,6812985
70;16;1,040095;2;1;Odd;Right;Right;0,9174013
71;16;1,540264;2;2;Even;Left;Left;1,528915
73;16;1,034343;2;2;Even;Left;Left;0,4876044
74;16;0,7931921;2;9;Odd;Right;Right;0,5809284
75;16;1,115904;2;1;Odd;Right;Right;0,6694905
76;16;1,640234;2;7;Odd;Right;Right;0,7349852
77;16;1,183701;2;3;Odd;Right;Right;0,5271702
78;16;1,248956;2;8;Even;Left;Left;0,3775487
79;16;0,9384325;2;6;Even;Left;Left;0,780847
80;16;1,406522;2;4;Even;Left;Left;0,2115222
82;16;0,8142557;2;7;Odd;Right;Right;0,2193907
83;16;1,022149;2;8;Even;Left;Left;0,4670877
84;16;1,161839;2;3;Odd;Right;Right;1,15025
85;16;0,9387332;2;1;Odd;Right;Left;0,2793327
86;16;1,597748;2;2;Even;Left;Left;1,586647
87;16;0,892534;2;9;Odd;Right;Right;0,3012753
88;16;1,216499;2;6;Even;Left;Left;1,205529
89;16;0,7598227;2;4;Even;Left;Left;0,6586838
91;16;1,539691;2;2;Even;Left;Left;0,9157009
92;16;0,873149;2;8;Even;Left;Right;0,3260213
93;16;1,575056;2;7;Odd;Right;Right;1,563642
94;16;1,218989;2;9;Odd;Right;Right;0,5797421
95;16;0,805728;2;4;Even;Left;Left;0,302407
96;16;0,7701938;2;6;Even;Left;Left;0,7590795
97;16;0,8184413;2;3;Odd;Right;Right;0,8071449
98;16;0,9905338;2;1;Odd;Right;Right;0,9794116
100;16;1,073301;2;7;Odd;Right;Right;0,2463797
101;16;1,619753;2;9;Odd;Right;Right;1,118117
102;16;0,9509803;2;3;Odd;Right;Right;0,2364648
103;16;1,161245;2;4;Even;Left;Left;0,2474904
104;16;1,124747;2;2;Even;Left;Left;1,11558
105;16;0,9602905;2;8;Even;Left;Right;0,8810301
106;16;0,9385085;2;1;Odd;Right;Right;0,8269539
107;16;1,060181;2;6;Even;Left;Left;0,2672821
109;16;1,93235;2;4;Even;Left;Left;1,038265
110;16;0,8069488;2;9;Odd;Right;Right;0,247427
111;16;0,9857203;2;2;Even;Left;Left;0,9412946
112;16;1,448579;2;3;Odd;Right;Right;0,6015457
113;16;0,9738303;2;6;Even;Left;Left;0,2569477
114;16;1,217528;2;7;Odd;Right;Right;1,083226
115;16;0,8574208;2;1;Odd;Right;Right;0,7229681
116;16;0,9792382;2;8;Even;Left;Left;0,792416
118;16;1,339612;2;2;Even;Left;Left;1,328429
119;16;0,7357222;2;9;Odd;Right;Right;0,5359782
120;16;0,8941335;2;6;Even;Left;Left;0,2788528
121;16;0,7367991;2;7;Odd;Right;Right;0,7253876
122;16;1,039403;2;8;Even;Left;Left;0,2566053
123;16;1,075962;2;1;Odd;Right;Right;0,2443648
124;16;1,070902;2;3;Odd;Right;Right;0,7970864
125;16;0,8811855;2;4;Even;Left;Left;0,2228839
127;16;0,9361801;2;1;Odd;Right;Right;0,9261128
128;16;1,371443;2;8;Even;Left;Left;1,358297
129;16;0,8932526;2;6;Even;Left;Left;0,83716
130;16;0,952579;2;3;Odd;Right;Right;0,9412373
131;16;0,8494694;2;9;Odd;Right;Right;0,2806308
132;16;0,8577987;2;2;Even;Left;Left;0,8466614
133;16;1,442004;2;4;Even;Left;Left;0,8259061
134;16;0,8698381;2;7;Odd;Right;Right;0,8607572

