Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;24;1,216243;2;4;Even;Left;Left;1,116664
2;24;0,8269895;2;8;Even;Left;Left;0,8154722
3;24;0,859724;2;2;Even;Left;Left;0,8487351
4;24;0,6925541;2;3;Odd;Right;Right;0,6369769
5;24;1,084681;2;6;Even;Left;Left;1,073263
6;24;0,7922006;2;9;Odd;Right;Right;0,7805204
7;24;0,7494645;2;7;Odd;Right;Right;0,7377593
8;24;0,7821612;2;1;Odd;Right;Right;0,7710775
10;24;0,7052678;2;6;Even;Left;Left;0,69391
11;24;0,7584332;2;4;Even;Left;Left;0,7477062
12;24;0,6578342;2;3;Odd;Right;Right;0,6466202
13;24;0,6162884;2;7;Odd;Right;Right;0,6052844
14;24;0,759757;2;8;Even;Left;Left;0,7484396
15;24;0,7557323;2;9;Odd;Right;Right;0,746365
16;24;0,6814725;2;1;Odd;Right;Right;0,6701424
17;24;0,7368759;2;2;Even;Left;Left;0,7242108
19;24;0,8373544;2;2;Even;Left;Left;0,8265073
20;24;0,7160259;2;4;Even;Left;Left;0,7041824
21;24;0,7715503;2;8;Even;Left;Left;0,7600694
22;24;0,8187677;2;3;Odd;Right;Right;0,8076322
23;24;0,7697862;2;6;Even;Left;Left;0,759296
24;24;0,8928685;2;9;Odd;Right;Right;0,8800274
25;24;0,704334;2;7;Odd;Right;Right;0,6928481
26;24;0,7370673;2;1;Odd;Right;Right;0,7257632
28;24;1,269702;2;4;Even;Left;Left;1,259974
29;24;0,6602347;2;6;Even;Left;Left;0,6489843
30;24;0,7715899;2;1;Odd;Right;Right;0,7601683
31;24;0,8600516;2;2;Even;Left;Left;0,848851
32;24;0,8825338;2;8;Even;Left;Left;0,8714349
33;24;0,8728165;2;7;Odd;Right;Right;0,8615218
34;24;0,6254008;2;3;Odd;Right;Right;0,6139934
35;24;0,650228;2;9;Odd;Right;Right;0,6384298
37;24;0,6368686;2;3;Odd;Right;Right;0,6257359
38;24;0,6598725;2;6;Even;Left;Left;0,6476344
39;24;0,7249922;2;8;Even;Left;Left;0,714457
40;24;0,7592841;2;2;Even;Left;Left;0,7477293
41;24;0,637061;2;4;Even;Left;Left;0,6256682
42;24;0,7157757;2;1;Odd;Right;Right;0,705112
43;24;0,8267271;2;9;Odd;Right;Right;0,8151417
44;24;0,6707608;2;7;Odd;Right;Right;0,6596263
46;24;0,7822433;2;8;Even;Left;Left;0,7710065
47;24;0,6927779;2;1;Odd;Right;Right;0,6815798
48;24;0,9185172;2;9;Odd;Right;Right;0,9074877
49;24;0,7599623;2;3;Odd;Right;Right;0,7486932
50;24;0,6596164;2;7;Odd;Right;Right;0,6486127
51;24;0,7484007;2;4;Even;Left;Left;0,7377274
52;24;0,8141468;2;6;Even;Left;Left;0,802965
