Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;25;7,249387;1;2;Even;Right;Right;7,237437
2;25;1,537244;1;3;Odd;Left;Left;0,4768384
3;25;1,038153;1;1;Odd;Left;Left;0,2351733
4;25;1,140444;1;4;Even;Right;Right;0,1783301
5;25;1,050711;1;9;Odd;Left;Left;0,2015591
6;25;1,193842;1;6;Even;Right;Right;0,2010428
7;25;1,353222;1;8;Even;Right;Right;0,2144192
8;25;0,8939341;1;7;Odd;Left;Left;0,1788406
10;25;0,906453;1;8;Even;Right;Right;0,2125576
11;25;3,721909;1;4;Even;Right;Right;3,119351
12;25;1,137699;1;7;Odd;Left;Left;0,2990092
13;25;2,277768;1;1;Odd;Left;Left;0,4362084
14;25;1,106441;1;3;Odd;Left;Left;0,2914175
15;25;1,018625;1;6;Even;Right;Right;0,2472492
16;25;1,061094;1;9;Odd;Left;Left;0,2787854
17;25;0,9372097;1;2;Even;Right;Right;0,1988614
19;25;3,273716;1;8;Even;Right;Right;1,71994
20;25;1,049932;1;7;Odd;Left;Left;0,2349513
21;25;1,16162;1;2;Even;Right;Right;0,2338858
22;25;1,00707;1;4;Even;Right;Right;0,2792555
23;25;0,9820296;1;9;Odd;Left;Left;0,2678548
24;25;1,672168;1;6;Even;Right;Right;0,2347085
25;25;0,9967136;1;3;Odd;Left;Left;0,280578
26;25;1,418578;1;1;Odd;Left;Left;0,3026747
28;25;0,8917328;1;6;Even;Right;Right;0,2143528
29;25;0,9298452;1;4;Even;Right;Right;0,256695
30;25;0,9378241;1;9;Odd;Left;Left;0,2785859
31;25;0,9593837;1;2;Even;Right;Right;0,2221932
32;25;1,286479;1;3;Odd;Left;Left;0,2596257
33;25;1,017202;1;8;Even;Right;Right;0,2239828
34;25;1,329635;1;1;Odd;Left;Left;0,2566823
35;25;0,87444;1;7;Odd;Left;Left;0,2807655
37;25;0,7785346;1;3;Odd;Left;Left;0,2589985
38;25;0,7797171;1;1;Odd;Left;Left;0,2234614
39;25;1,002925;1;7;Odd;Left;Left;0,2452359
40;25;1,492573;1;2;Even;Right;Right;0,84074
41;25;0,8394195;1;8;Even;Right;Right;0,2017848
42;25;0,8060532;1;6;Even;Right;Right;0,2220449
43;25;0,9661921;1;9;Odd;Left;Left;0,2917699
44;25;0,9938321;1;4;Even;Right;Right;0,1660306
46;25;0,9047289;1;9;Odd;Left;Left;0,2566522
47;25;4,097913;1;2;Even;Right;Right;1,764772
48;25;1,0507;1;7;Odd;Left;Left;0,2916652
49;25;2,569872;1;3;Odd;Left;Left;1,118237
50;25;0,9610355;1;8;Even;Right;Right;0,1793914
51;25;1,237976;1;6;Even;Right;Right;0,2435846
52;25;1,049762;1;1;Odd;Left;Left;0,2345828
53;25;1,094187;1;4;Even;Right;Right;0,2029966
55;25;1,038914;1;3;Odd;Left;Left;0,1912532
56;25;0,9312703;1;2;Even;Right;Right;0,2458119
57;25;1,061168;1;6;Even;Right;Right;0,2131143
58;25;0,7051101;1;8;Even;Right;Right;0,2011021
59;25;0,8397884;1;9;Odd;Left;Left;0,1693314
60;25;1,676247;1;7;Odd;Left;Left;0,256832
61;25;1,118015;1;1;Odd;Left;Left;0,2558318
62;25;1,005606;1;4;Even;Right;Right;0,2447751
64;25;0,9938889;1;3;Odd;Left;Left;0,2781137
65;25;1,015095;1;9;Odd;Left;Left;0,2659351
66;25;0,9390589;1;8;Even;Right;Right;0,235577
67;25;2,333425;1;7;Odd;Left;Left;0,3569502
68;25;1,620372;1;6;Even;Right;Right;0,8156216
69;25;0,9807989;1;1;Odd;Left;Left;0,2427725
70;25;1,239735;1;4;Even;Right;Right;0,2451722
71;25;0,8597789;1;2;Even;Right;Right;0,2233865
73;25;1,082515;1;3;Odd;Left;Left;0,3008087
74;25;1,093296;1;7;Odd;Left;Left;0,2791975
75;25;1,005134;1;6;Even;Right;Right;0,245608
76;25;1,67634;1;1;Odd;Left;Left;0,2797358
77;25;1,519324;1;9;Odd;Left;Left;1,507935
78;25;0,9612164;1;4;Even;Right;Right;0,2678097
79;25;1,193911;1;2;Even;Right;Right;0,2806606
80;25;0,9405158;1;8;Even;Right;Right;0,2690743
82;25;1,305225;1;1;Odd;Left;Left;0,2791569
83;25;0,9512112;1;7;Odd;Left;Left;0,2801479
84;25;4,502565;1;8;Even;Right;Right;1,240335
85;25;1,81029;1;3;Odd;Left;Left;1,799174
86;25;1,653673;1;4;Even;Right;Right;0,401553
87;25;1,114822;1;6;Even;Right;Right;0,190412
88;25;2,743387;1;2;Even;Right;Right;2,173029
89;25;1,182583;1;9;Odd;Left;Left;0,2767028
91;25;0,9920634;1;2;Even;Right;Right;0,2774535
92;25;0,8590924;1;4;Even;Right;Right;0,2227901
93;25;1,184258;1;1;Odd;Left;Left;0,2589496
94;25;2,325389;1;6;Even;Right;Right;1,240525
95;25;1,552297;1;3;Odd;Left;Left;0,3564496
96;25;1,117613;1;9;Odd;Left;Left;0,2919897
97;25;2,055706;1;8;Even;Right;Right;1,081628
98;25;1,362405;1;7;Odd;Left;Left;0,3435411
100;25;1,586243;1;1;Odd;Left;Left;0,625764
101;25;0,8799379;1;9;Odd;Left;Left;0,2652276
102;25;0,9587428;1;3;Odd;Left;Left;0,2776856
103;25;1,017726;1;7;Odd;Left;Left;0,2344944
104;25;1,667929;1;6;Even;Right;Right;0,8849185
105;25;0,7594368;1;8;Even;Right;Right;0,2267313
106;25;0,7341434;1;4;Even;Right;Right;0,2009469
107;25;0,6802216;1;2;Even;Right;Right;0,2011177
109;25;0,7369099;1;4;Even;Right;Right;0,2349237
110;25;2,713493;1;7;Odd;Left;Left;0,3231797
111;25;0,9041288;1;3;Odd;Left;Left;0,2781454
112;25;0,8957413;1;1;Odd;Left;Left;0,2709155
113;25;1,11427;1;6;Even;Right;Right;0,2424254
114;25;0,8314704;1;2;Even;Right;Right;0,2375269
115;25;0,7593023;1;8;Even;Right;Right;0,2136783
116;25;1,017534;1;9;Odd;Left;Left;0,2444301
118;25;0,7716989;1;9;Odd;Left;Left;0,2355801
119;25;0,9056866;1;2;Even;Right;Right;0,2123277
120;25;1,308524;1;1;Odd;Left;Left;0,1919777
121;25;1,008115;1;4;Even;Right;Right;0,25836
122;25;1,039863;1;3;Odd;Left;Left;0,2700167
