Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;27;1,055451;1;4;Even;Right;Right;0,2730486
2;27;0,9812256;1;7;Odd;Left;Left;0,2705342
3;27;0,815035;1;9;Odd;Left;Left;0,2573051
4;27;0,7823718;1;1;Odd;Left;Left;0,2685605
5;27;2,279504;1;6;Even;Right;Right;2,078573
6;27;0,9501508;1;3;Odd;Left;Left;0,3046544
7;27;1,015102;1;8;Even;Right;Right;0,3116058
8;27;1,136901;1;2;Even;Right;Right;0,5016291
10;27;1,048697;1;3;Odd;Left;Left;0,3348736
11;27;0,9378249;1;9;Odd;Left;Left;0,2895995
12;27;1,909952;1;1;Odd;Left;Left;1,775455
13;27;1,138712;1;4;Even;Right;Right;0,412189
14;27;1,072691;1;2;Even;Right;Right;1,016875
15;27;1,160339;1;8;Even;Right;Right;0,2124937
16;27;0,8783647;1;6;Even;Right;Right;0,3024277
17;27;1,070994;1;7;Odd;Left;Left;0,3223591
19;27;0,8513533;1;7;Odd;Left;Left;0,3946691
20;27;0,9196244;1;8;Even;Right;Right;0,2921919
21;27;0,9616702;1;2;Even;Right;Right;0,2669223
22;27;0,8595287;1;3;Odd;Left;Left;0,2553461
23;27;1,314532;1;9;Odd;Left;Left;0,7782736
24;27;0,9620693;1;6;Even;Right;Right;0,3269995
25;27;0,7711844;1;4;Even;Right;Right;0,2678481
26;27;0,9836002;1;1;Odd;Left;Left;0,2217948
28;27;0,8618526;1;2;Even;Right;Right;0,2853273
29;27;0,8469571;1;8;Even;Right;Right;0,2887865
30;27;0,9387215;1;9;Odd;Left;Left;0,2815471
31;27;0,8157967;1;1;Odd;Left;Left;0,2779531
32;27;0,9500701;1;4;Even;Right;Right;0,244519
33;27;1,126412;1;3;Odd;Left;Left;0,2339698
34;27;1,854382;1;7;Odd;Left;Left;1,619133
35;27;0,8930281;1;6;Even;Right;Right;0,3132491
37;27;0,8601271;1;8;Even;Right;Right;0,3372799
38;27;0,9483849;1;7;Odd;Left;Left;0,2779068
39;27;0,9860407;1;3;Odd;Left;Left;0,3367599
40;27;0,8049758;1;1;Odd;Left;Left;0,2801211
41;27;0,9170374;1;4;Even;Right;Right;0,2802838
42;27;0,8820643;1;6;Even;Right;Right;0,2560276
43;27;1,296208;1;2;Even;Right;Left;0,4583744
44;27;1,083334;1;9;Odd;Left;Left;0,9374815
46;27;1,006198;1;4;Even;Right;Right;0,3240843
47;27;0,9825862;1;7;Odd;Left;Left;0,3458868
48;27;0,8947439;1;8;Even;Right;Right;0,28131
49;27;0,9284775;1;1;Odd;Left;Left;0,7270098
50;27;0,8946019;1;3;Odd;Left;Left;0,3022153
51;27;0,8201454;1;6;Even;Right;Right;0,2676044
52;27;0,8834451;1;2;Even;Right;Right;0,2674634
53;27;0,9314432;1;9;Odd;Left;Left;0,2941046
55;27;1,105502;1;7;Odd;Left;Left;0,3015873
56;27;2,014348;1;3;Odd;Left;Left;1,257969
57;27;1,014459;1;2;Even;Right;Right;0,2945107
58;27;0,9537272;1;8;Even;Right;Right;0,373396
59;27;0,9522541;1;6;Even;Right;Right;0,3268733
60;27;0,8568534;1;1;Odd;Left;Left;0,2843394
61;27;0,8930044;1;4;Even;Right;Right;0,2905318
62;27;2,730768;1;9;Odd;Left;Left;2,719188
64;27;1,104368;1;3;Odd;Left;Left;0,4482284
65;27;1,037377;1;9;Odd;Left;Left;0,4352162
66;27;1,06067;1;6;Even;Right;Right;0,3760656
67;27;2,142685;1;7;Odd;Left;Left;1,564624
68;27;0,9628562;1;8;Even;Right;Right;0,3596003
69;27;1,236825;1;2;Even;Right;Right;0,4565146
70;27;0,9707428;1;1;Odd;Left;Left;0,3475177
71;27;1,329291;1;4;Even;Right;Right;0,2454593
73;27;0,8934301;1;9;Odd;Left;Left;0,2680445
74;27;0,9607695;1;4;Even;Right;Right;0,2834503
75;27;1,043415;1;7;Odd;Left;Left;0,4355716
76;27;1,562107;1;3;Odd;Left;Left;0,679185
77;27;3,352925;1;1;Odd;Left;Left;3,077754
78;27;1,949293;1;6;Even;Right;Right;1,373144
79;27;1,07448;1;8;Even;Right;Right;0,4480158
80;27;1,034201;1;2;Even;Right;Right;0,3971996
82;27;0,9154707;1;1;Odd;Left;Left;0,3550314
83;27;1,060746;1;7;Odd;Left;Left;0,3575704
84;27;1,038291;1;4;Even;Right;Right;0,3235663
85;27;0,9132239;1;2;Even;Right;Right;0,3323166
86;27;1,015102;1;6;Even;Right;Right;0,4459926
87;27;1,250105;1;9;Odd;Left;Left;0,5021388
88;27;1,116385;1;8;Even;Right;Right;0,3454304
89;27;0,8406267;1;3;Odd;Left;Left;0,1442339
91;27;0,98259;1;1;Odd;Left;Left;0,3792474
92;27;1,114105;1;6;Even;Right;Right;0,3786796
93;27;1,017563;1;3;Odd;Left;Left;0,3797507
94;27;1,130741;1;9;Odd;Left;Left;1,008836
95;27;1,038244;1;7;Odd;Left;Left;0,4351504
96;27;1,096153;1;4;Even;Right;Right;0,7979562
97;27;1,083331;1;2;Even;Right;Right;0,3134672
98;27;0,9383492;1;8;Even;Right;Right;0,3599675
100;27;0,992808;1;9;Odd;Left;Left;0,3135148
101;27;1,015599;1;6;Even;Right;Right;0,3788281
102;27;0,9912958;1;1;Odd;Left;Left;0,377831
103;27;1,080731;1;7;Odd;Left;Left;1,069542
104;27;1,159892;1;2;Even;Right;Right;0,5346138
105;27;1,129607;1;3;Odd;Left;Left;0,5029221
106;27;2,079405;1;8;Even;Right;Right;1,857323
107;27;0,9851571;1;4;Even;Right;Right;0,414318
109;27;1,204349;1;8;Even;Right;Right;1,005475
110;27;1,00332;1;3;Odd;Left;Left;0,3800008
111;27;1,028555;1;2;Even;Right;Right;0,3580006
112;27;0,9949427;1;6;Even;Right;Right;0,4154627
113;27;1,025091;1;1;Odd;Left;Left;0,3643166
114;27;1,052444;1;7;Odd;Left;Left;0,3915263
115;27;1,061562;1;4;Even;Right;Right;0,5019838
116;27;1,049499;1;9;Odd;Left;Left;0,4144687
118;27;1,10385;1;6;Even;Right;Right;0,4227201
119;27;0,8995969;1;8;Even;Right;Right;0,3652887
120;27;1,866373;1;2;Even;Right;Right;1,218323
121;27;1,13832;1;3;Odd;Left;Left;0,4595699
122;27;1,162034;1;7;Odd;Left;Left;0,4800763
123;27;1,277362;1;9;Odd;Left;Left;0,3692015
124;27;1,014114;1;4;Even;Right;Right;0,3364514
125;27;1,017606;1;1;Odd;Left;Left;0,4249949
127;27;0,9169261;1;4;Even;Right;Right;0,4035785
128;27;1,058303;1;3;Odd;Left;Left;0,4106271
129;27;1,096625;1;2;Even;Right;Right;0,403034
130;27;1,139063;1;8;Even;Right;Right;0,4125776
131;27;1,138176;1;7;Odd;Left;Left;0,312933
132;27;1,277224;1;9;Odd;Left;Left;0,3344849
133;27;1,038404;1;6;Even;Right;Right;0,4584297
134;27;1,084831;1;1;Odd;Left;Left;0,4800912

