Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;23;1,642983;1;4;Even;Right;Right;0,2914302
2;23;0,8359073;1;6;Even;Right;Right;0,2219762
3;23;0,9923613;1;3;Odd;Left;Left;0,3223356
4;23;1,092767;1;9;Odd;Left;Left;0,2777706
5;23;0,9384283;1;1;Odd;Left;Left;0,2589082
6;23;1,654031;1;7;Odd;Left;Left;0,3132752
7;23;1,977217;1;8;Even;Right;Right;1,965787
8;23;1,218849;1;2;Even;Right;Right;0,5820526
10;23;1,01992;1;9;Odd;Left;Left;0,293412
11;23;1,652873;1;4;Even;Right;Right;0,3572824
12;23;0,9943655;1;7;Odd;Left;Left;0,3349725
13;23;2,021418;1;8;Even;Right;Right;0,2797182
14;23;0,7927782;1;6;Even;Right;Right;0,1789267
15;23;1,038004;1;3;Odd;Left;Left;0,9383043
16;23;0,9339499;1;1;Odd;Left;Left;0,3200848
17;23;1,137445;1;2;Even;Right;Right;0,2671233
19;23;1,429592;1;1;Odd;Left;Left;0,5032796
20;23;1,038551;1;2;Even;Right;Right;0,1787031
21;23;2,580727;1;3;Odd;Left;Left;2,502755
22;23;1,852841;1;6;Even;Right;Right;0,7949414
23;23;1,040529;1;7;Odd;Left;Left;0,2923584
24;23;0,9485218;1;4;Even;Right;Right;0,1656868
25;23;1,864766;1;8;Even;Right;Right;1,853365
26;23;1,13804;1;9;Odd;Left;Left;0,2008114
28;23;2,319283;1;8;Even;Right;Right;1,125749
29;23;0,9057034;1;2;Even;Right;Right;0,2568851
30;23;2,011558;1;3;Odd;Left;Left;0,5424917
31;23;0,9409565;1;4;Even;Right;Right;0,2372842
32;23;2,078121;1;1;Odd;Left;Left;1,217514
33;23;1,046555;1;9;Odd;Left;Left;0,3003742
34;23;1,137799;1;7;Odd;Left;Left;0,3136559
35;23;0,9168318;1;6;Even;Right;Right;0,2008136
37;23;1,842809;1;1;Odd;Left;Left;0,5478483
38;23;0,8370691;1;7;Odd;Left;Left;0,2789142
39;23;0,9364856;1;6;Even;Right;Right;0,5012619
40;23;0,6595122;1;8;Even;Right;Right;0,5458907
41;23;1,853625;1;9;Odd;Left;Left;1,050742
42;23;1,608571;1;3;Odd;Left;Left;0,9705454
43;23;0,8948448;1;2;Even;Right;Right;0,213352
44;23;1,339351;1;4;Even;Right;Right;0,2120267
46;23;1,810999;1;7;Odd;Left;Left;1,116386
47;23;1,072537;1;8;Even;Right;Right;0,8810486
48;23;0,837276;1;4;Even;Right;Right;0,2004751
49;23;0,9381194;1;3;Odd;Left;Left;0,3351286
50;23;1,295696;1;6;Even;Right;Right;1,284497
51;23;1,697891;1;9;Odd;Left;Left;0,8921342
52;23;0,8264398;1;2;Even;Right;Right;0,122613
53;23;1,184456;1;1;Odd;Left;Left;0,2469373
55;23;1,149897;1;6;Even;Right;Right;0,1790667
56;23;1,854076;1;2;Even;Right;Right;0,7825463
57;23;1,597398;1;7;Odd;Left;Left;0,9152781
58;23;1,22951;1;8;Even;Right;Right;0,2820109
59;23;1,361917;1;9;Odd;Left;Left;0,8375564
60;23;1,171778;1;1;Odd;Left;Left;0,3815546
61;23;0,8259696;1;4;Even;Right;Right;0,2120292
62;23;1,440838;1;3;Odd;Left;Left;0,7829261
64;23;1,094445;1;2;Even;Right;Right;0,200327
65;23;1,049245;1;1;Odd;Left;Right;0,2322483
66;23;1,273437;1;4;Even;Right;Right;0,1558363
67;23;1,015061;1;8;Even;Right;Right;0,1339332
68;23;2,278588;1;9;Odd;Left;Left;0,3137295
69;23;0,9261223;1;3;Odd;Left;Left;0,2659496
70;23;0,8722366;1;6;Even;Right;Right;0,2227577
71;23;1,173488;1;7;Odd;Left;Left;0,2584956
73;23;1,51922;1;1;Odd;Left;Left;0,4804814
74;23;0,9158045;1;8;Even;Right;Right;0,3024488
75;23;0,8486499;1;6;Even;Right;Right;0,249317
76;23;1,632239;1;9;Odd;Left;Left;0,3263245
77;23;1,13932;1;4;Even;Right;Right;0,2689196
78;23;2,3779;1;3;Odd;Left;Left;1,518448
79;23;1,140338;1;2;Even;Right;Right;0,2811933
80;23;0,8389343;1;7;Odd;Left;Left;0,2364419
82;23;1,038951;1;2;Even;Right;Right;0,2233853
83;23;1,216875;1;6;Even;Right;Right;0,2005236
84;23;0,9947336;1;8;Even;Right;Left;0,324061
85;23;1,059721;1;7;Odd;Left;Left;0,3006878
86;23;2,479181;1;9;Odd;Left;Left;0,5587908
87;23;1,752352;1;3;Odd;Left;Left;0,291369
88;23;1,024474;1;1;Odd;Left;Left;0,3454422
89;23;1,008957;1;4;Even;Right;Right;0,3154386
91;23;0,9372438;1;9;Odd;Left;Left;0,3003689
92;23;0,926851;1;1;Odd;Left;Left;0,3122985
93;23;0,9138451;1;6;Even;Right;Right;0,2001681
94;23;1,373897;1;2;Even;Right;Right;0,2801387
95;23;1,660604;1;4;Even;Right;Right;0,8231808
96;23;1,898414;1;7;Odd;Left;Left;1,084052
97;23;1,1386;1;8;Even;Right;Right;0,3123969
98;23;1,139934;1;3;Odd;Left;Left;0,3590479
100;23;1,015607;1;1;Odd;Left;Left;0,3008289
101;23;1,051489;1;7;Odd;Left;Left;0,2478034
102;23;1,33589;1;2;Even;Right;Left;0,6768934
103;23;1,573976;1;3;Odd;Left;Left;0,3141321
104;23;1,172222;1;8;Even;Right;Right;0,2412795
105;23;1,397773;1;9;Odd;Left;Left;0,2782089
106;23;1,251165;1;6;Even;Right;Right;0,2135785
107;23;1,619018;1;4;Even;Right;Right;0,201462
109;23;1,239092;1;4;Even;Right;Right;0,3896133
110;23;1,085032;1;1;Odd;Left;Left;0,3032253
111;23;0,9826242;1;9;Odd;Left;Left;0,3251228
112;23;1,595921;1;7;Odd;Left;Left;1,094045
113;23;0,9277545;1;6;Even;Right;Right;0,1992427
114;23;1,551419;1;8;Even;Right;Left;0,2895955
115;23;2,479001;1;3;Odd;Left;Left;0,4018996
116;23;0,9163268;1;2;Even;Right;Right;0,1999079
118;23;0,8841886;1;2;Even;Right;Right;0,3470535
119;23;0,8815141;1;8;Even;Right;Right;0,2439073
120;23;1,263188;1;1;Odd;Left;Left;0,3139237
121;23;1,194667;1;9;Odd;Left;Left;0,3230388
122;23;1,05778;1;6;Even;Right;Right;0,8441204
123;23;1,095342;1;3;Odd;Left;Left;0,2784719
124;23;1,161313;1;4;Even;Right;Right;0,3562407
125;23;1,51792;1;7;Odd;Left;Left;0,423885
127;23;0,9379396;1;3;Odd;Left;Left;0,22347
128;23;0,9168973;1;7;Odd;Left;Left;0,2799662
129;23;1,038738;1;4;Even;Right;Right;0,1788192
130;23;1,56319;1;9;Odd;Left;Left;0,2675467
131;23;0,8403379;1;6;Even;Right;Right;0,1916645
132;23;2,291596;1;2;Even;Right;Right;2,280737
133;23;0,972851;1;1;Odd;Left;Left;0,2564113
134;23;0,8706099;1;8;Even;Right;Right;0,2106941
Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;23;1,396838;2;7;Odd;Right;Right;0,3136792
2;23;0,9282925;2;4;Even;Left;Left;0,2920361
3;23;1,564541;2;3;Odd;Right;Left;0,916595
4;23;1,161683;2;6;Even;Left;Left;0,2557365
5;23;0,9269937;2;9;Odd;Right;Right;0,2232739
6;23;1,016455;2;8;Even;Left;Left;0,3126453
7;23;0,9371837;2;2;Even;Left;Left;0,2782732
8;23;0,8587687;2;1;Odd;Right;Right;0,3004449
10;23;1,552586;2;7;Odd;Right;Right;0,3575429
11;23;0,9044363;2;4;Even;Left;Left;0,2586151
12;23;0,8826514;2;6;Even;Left;Left;0,2807727
13;23;0,9477863;2;1;Odd;Right;Right;0,3206009
14;23;1,764315;2;9;Odd;Right;Left;0,6818618
15;23;1,555266;2;8;Even;Left;Left;0,2817039
16;23;1,406954;2;3;Odd;Right;Right;0,3460768
17;23;2,900519;2;2;Even;Left;Left;1,872972
19;23;1,383537;2;7;Odd;Right;Right;0,3230003
20;23;0,8939639;2;6;Even;Left;Left;0,2813179
21;23;0,8604217;2;8;Even;Left;Left;0,3015054
22;23;0,8590078;2;9;Odd;Right;Right;0,1908705
23;23;0,915944;2;4;Even;Left;Left;0,246555
24;23;1,115649;2;3;Odd;Right;Right;0,6810637
25;23;1,274649;2;1;Odd;Right;Right;1,263414
26;23;1,3175;2;2;Even;Left;Left;0,3582215
28;23;1,516655;2;4;Even;Left;Left;0,9261678
29;23;1,04065;2;8;Even;Left;Left;0,2689201
30;23;0,8418053;2;6;Even;Left;Left;0,2477592
31;23;1,197536;2;3;Odd;Right;Right;0,2371144
32;23;0,8934013;2;1;Odd;Right;Right;0,179481
33;23;1,059383;2;2;Even;Left;Left;0,3015885
34;23;0,8829098;2;7;Odd;Right;Right;0,3229454
35;23;1,116992;2;9;Odd;Right;Right;0,3235068
37;23;0,6933573;2;1;Odd;Right;Right;0,2220039
38;23;0,8594384;2;7;Odd;Right;Right;0,8486525
39;23;0,9390342;2;8;Even;Left;Left;0,268385
40;23;1,816133;2;3;Odd;Right;Right;0,9948531
41;23;1,072628;2;6;Even;Left;Left;0,2124779
42;23;1,395391;2;9;Odd;Right;Right;0,221457
43;23;1,018091;2;2;Even;Left;Left;0,2698714
44;23;1,742104;2;4;Even;Left;Left;0,9041524
46;23;1,067904;2;6;Even;Left;Left;0,3572132
47;23;1,060656;2;3;Odd;Right;Right;0,2110759
