Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;16;1,297544;2;6;Even;Left;Left;0,33582
2;16;0,9742903;2;7;Odd;Right;Right;0,3264129
3;16;0,6968421;2;8;Even;Left;Left;0,2255941
4;16;1,696134;2;1;Odd;Right;Right;1,68498
5;16;1,374154;2;3;Odd;Right;Right;0,2568686
6;16;0,8714131;2;2;Even;Left;Left;0,3792088
7;16;0,8571243;2;9;Odd;Right;Right;0,2798761
8;16;0,6986753;2;4;Even;Left;Left;0,2427569
10;16;0,8155861;2;7;Odd;Right;Right;0,8053691
11;16;1,885543;2;1;Odd;Right;Left;1,338652
12;16;1,373942;2;9;Odd;Right;Right;0,2791651
13;16;1,080529;2;2;Even;Left;Left;0,3030453
14;16;0,8614032;2;6;Even;Left;Left;0,3026077
15;16;0,8412104;2;3;Odd;Right;Right;0,257828
16;16;0,7256138;2;4;Even;Left;Left;0,3573232
17;16;2,301491;2;8;Even;Left;Left;1,675354
19;16;0,7721265;2;2;Even;Left;Right;0,2571508
20;16;1,53054;2;8;Even;Left;Left;1,318172
21;16;1,273485;2;3;Odd;Right;Right;0,3349298
22;16;2,067638;2;1;Odd;Right;Right;1,038722
23;16;1,03883;2;6;Even;Left;Left;0,244648
24;16;0,904824;2;4;Even;Left;Left;0,8933926
25;16;0,8368042;2;7;Odd;Right;Right;0,2219821
26;16;1,139554;2;9;Odd;Right;Right;0,6698461
28;16;0,915689;2;7;Odd;Right;Right;0,3051163
29;16;0,9604234;2;4;Even;Left;Right;0,5360066
30;16;0,9723268;2;8;Even;Left;Left;0,2576889
31;16;0,8730549;2;3;Odd;Right;Right;0,861656
32;16;0,8319808;2;6;Even;Left;Left;0,8206056
33;16;1,281689;2;1;Odd;Right;Left;0,2547768
34;16;1,485398;2;2;Even;Left;Left;1,473653
35;16;0,8382282;2;9;Odd;Right;Right;0,245955
37;16;3,296232;2;8;Even;Left;Right;3,285487
38;16;1,004911;2;6;Even;Left;Left;0,3240222
39;16;1,004901;2;2;Even;Left;Left;0,3236279
40;16;0,9578566;2;9;Odd;Right;Right;0,7930134
41;16;2,915044;2;7;Odd;Right;Right;1,440875
42;16;0,9599883;2;1;Odd;Right;Right;0,3019511
43;16;1,091584;2;3;Odd;Right;Left;1,08348
44;16;2,263032;2;4;Even;Left;Left;2,251565
46;16;1,176348;2;1;Odd;Right;Right;0,2573484
47;16;1,652934;2;3;Odd;Right;Left;0,3343345
48;16;1,229459;2;4;Even;Left;Left;0,3169255
49;16;0,9124374;2;6;Even;Left;Left;0,2536196
