Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;10;1,075853;2;8;Even;Left;Left;1,064206
2;10;0,8597506;2;6;Even;Left;Left;0,7821335
3;10;0,8151109;2;3;Odd;Right;Right;0,80404
4;10;0,8941228;2;1;Odd;Right;Right;0,882139
5;10;0,9376021;2;4;Even;Left;Left;0,9257818
6;10;0,9037392;2;2;Even;Left;Left;0,3229032
7;10;0,816776;2;9;Odd;Right;Right;0,3218777
8;10;0,6916004;2;7;Odd;Right;Right;0,2571721
10;10;0,9376261;2;6;Even;Left;Left;0,536502
11;10;0,8028077;2;9;Odd;Right;Right;0,2452475
12;10;0,7707476;2;3;Odd;Right;Right;0,7588915
13;10;0,7378015;2;7;Odd;Right;Right;0,2584101
14;10;0,8271321;2;8;Even;Left;Left;0,8166569
15;10;0,7930365;2;4;Even;Left;Left;0,7341924
16;10;0,8706148;2;2;Even;Left;Left;0,8592853
17;10;0,7928705;2;1;Odd;Right;Right;0,2229317
19;10;1,698051;2;6;Even;Left;Left;1,686565
20;10;0,8284183;2;3;Odd;Right;Right;0,2812281
21;10;0,8808247;2;9;Odd;Right;Right;0,2228734
22;10;1,119385;2;8;Even;Left;Left;0,3114503
23;10;1,575395;2;2;Even;Left;Left;0,9688265
24;10;0,7934072;2;7;Odd;Right;Right;0,2345078
25;10;1,776017;2;4;Even;Left;Left;1,151238
26;10;0,9606542;2;1;Odd;Right;Right;0,2456443
28;10;0,9159006;2;6;Even;Left;Left;0,905054
29;10;0,9272748;2;4;Even;Left;Left;0,6481141
30;10;0,8262285;2;9;Odd;Right;Right;0,2475091
31;10;0,8933011;2;1;Odd;Right;Right;0,3021036
32;10;0,8361107;2;3;Odd;Right;Right;0,8252689
33;10;0,9038153;2;2;Even;Left;Left;0,8929541
34;10;0,771499;2;8;Even;Left;Left;0,2803696
35;10;0,8160229;2;7;Odd;Right;Right;0,2716298
37;10;0,9125349;2;6;Even;Left;Left;0,9013433
38;10;0,8430303;2;1;Odd;Right;Right;0,8317057
39;10;0,8614462;2;9;Odd;Right;Right;0,8496938
40;10;0,8949528;2;2;Even;Left;Left;0,8825934
41;10;1,716374;2;8;Even;Left;Left;1,628459
42;10;0,9121665;2;3;Odd;Right;Right;0,9012665
43;10;0,8272162;2;7;Odd;Right;Right;0,2253789
44;10;0,8774053;2;4;Even;Left;Left;0,2756276
46;10;1,095352;2;9;Odd;Right;Right;1,085403
47;10;0,953591;2;1;Odd;Right;Right;0,2394417
48;10;0,8273494;2;2;Even;Left;Left;0,8162991
49;10;0,7556531;2;4;Even;Left;Left;0,7443796
50;10;0,8154375;2;3;Odd;Right;Right;0,8043032
51;10;0,8010145;2;6;Even;Left;Left;0,7895733
52;10;0,7731115;2;7;Odd;Right;Right;0,2355672
53;10;0,8361722;2;8;Even;Left;Left;0,8259998
55;10;0,893844;2;9;Odd;Right;Right;0,8820421
56;10;0,7556914;2;3;Odd;Right;Right;0,7425842
57;10;0,7263254;2;7;Odd;Right;Right;0,6032622
58;10;0,8407748;2;2;Even;Left;Left;0,8294294
59;10;0,8714223;2;6;Even;Left;Left;0,8602036
60;10;0,752525;2;4;Even;Left;Left;0,235209
61;10;0,7753138;2;1;Odd;Right;Right;0,7634856
62;10;0,815454;2;8;Even;Left;Left;0,8046104
64;10;1,453331;2;8;Even;Left;Left;1,442121
65;10;2,98207;2;1;Odd;Right;Right;2,970506
66;10;0,9698752;2;2;Even;Left;Left;0,9594089
67;10;1,518569;2;4;Even;Left;Left;0,9459593
68;10;2,056945;2;7;Odd;Right;Right;1,440824
69;10;3,037602;2;9;Odd;Right;Right;2,658095
70;10;1,038425;2;6;Even;Left;Left;1,027555
71;10;0,9747355;2;3;Odd;Right;Right;0,1992181
73;10;2,57892;2;4;Even;Left;Left;1,946667
74;10;0,9593493;2;3;Odd;Right;Right;0,367662
75;10;0,9678755;2;6;Even;Left;Left;0,3204223
76;10;1,064602;2;9;Odd;Right;Right;0,437623
77;10;2,542762;2;1;Odd;Right;Right;2,533054
78;10;1,36179;2;2;Even;Left;Left;0,8466332
79;10;0,9602777;2;8;Even;Left;Left;0,3253182
80;10;0,9835901;2;7;Odd;Right;Right;0,9719821
82;10;0,9396487;2;1;Odd;Right;Right;0,2252845
83;10;0,9156104;2;4;Even;Left;Left;0,2555323
84;10;2,401709;2;2;Even;Left;Left;2,389832
85;10;3,576695;2;6;Even;Left;Left;2,978676
86;10;0,8574635;2;9;Odd;Right;Right;0,3017041
87;10;1,035766;2;8;Even;Left;Left;0,8012255
88;10;0,8592186;2;7;Odd;Right;Right;0,8473645
89;10;2,467277;2;3;Odd;Right;Right;2,256146
91;10;1,016528;2;2;Even;Left;Left;0,399573
